"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"759",2017,112,6.2,36.25,62543,"R"
"760",1985,107,6.3,36.2,121363,"PG-13"
"761",2018,94,6.1,36.11,56830,"R"
"762",1996,123,6.9,36.05,13081,"R"
"763",1997,95,3.7,35.93,44333,"PG-13"
"764",2009,92,5.6,35.92,40533,"PG"
"765",1971,102,7.7,35.9,135698,"R"
"766",2005,136,6.8,35.82,292650,"PG-13"
"767",2003,88,5.6,35.76,45553,"PG-13"
"768",2006,108,6.7,35.66,133636,"R"
"769",1981,122,6.4,35.61,5096,"R"
"770",1987,114,7.1,35.51,33216,"R"
"771",2018,101,6.5,35.42,44191,"R"
"772",1977,109,6.4,35.4,19842,"R"
"773",1973,121,6.8,35.38,90693,"PG"
"774",1995,110,5.7,35.32,37391,"R"
"775",2008,98,5.9,35.16,52968,"PG"
"776",1993,120,7,35.11,26132,"PG-13"
"777",1985,90,6.7,35.1,138792,"R"
"778",2010,115,6.8,35.05,125019,"R"
"779",2000,106,5.6,35.01,30054,"PG-13"
"780",1988,104,6.1,34.99,61237,"R"
"781",2016,112,5.2,34.92,94086,"PG-13"
"782",1995,96,5.6,34.69,106161,"R"
"783",1989,133,6.6,34.67,88898,"PG-13"
"784",2005,113,6.6,34.64,103983,"R"
"785",2000,123,5.9,34.6,112916,"PG-13"
"786",2003,101,5.8,34.6,39969,"R"
"787",2015,87,5.1,34.51,46153,"PG-13"
"788",2017,113,7,34.39,87937,"R"
"789",2016,121,6.2,34.34,146180,"PG-13"
"790",2004,175,5.6,34.3,157536,"R"
"791",2003,94,6.1,34.24,41908,"R"
"792",2006,105,5.4,34.02,128237,"R"
"793",2018,107,6.4,34.02,56232,"R"
"794",1990,96,6.4,33.88,55602,"R"
"795",2017,109,5.3,33.7,85810,"PG-13"
"796",2004,124,6.4,33.68,145158,"R"
"797",2013,96,5.6,33.62,113120,"PG-13"
"798",1996,99,7,33.61,20093,"G"
"799",2006,135,7.1,33.6,113516,"R"
"800",2018,117,6,33.56,59491,"R"
"801",2002,97,5.4,33.56,47460,"PG-13"
