"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"583",2008,111,7.1,63.17,253168,"R"
"584",1996,81,6.8,63.07,49636,"PG-13"
"585",2016,99,5.4,63.03,40787,"R"
"586",2005,102,4.8,62.25,66676,"PG-13"
"587",1986,103,6.2,62.13,14856,"R"
"588",1984,111,6.2,62.1,65354,"PG"
"589",1997,98,6.4,61.92,48964,"PG"
"590",1979,121,6.3,61.8,7045,"PG"
"591",1985,114,7.8,61.5,227166,"PG"
"592",1983,98,7.4,61.4,90558,"R"
"593",2006,98,4.4,61.12,17590,"PG"
"594",2010,109,6.4,60.97,164192,"R"
"595",1989,116,6.1,60.86,18986,"R"
"596",2000,100,5.7,60.79,102985,"PG-13"
"597",1999,75,7.2,60.66,33231,"G"
"598",1999,114,7.1,60.65,155487,"R"
"599",1996,89,5.6,60.57,87547,"PG"
"600",2003,114,6.2,60.48,96516,"PG-13"
"601",2001,103,5.3,60.4,72689,"PG-13"
"602",2008,96,7,60.36,295517,"R"
"603",1988,101,7,60.33,81733,"PG-13"
"604",2016,111,6.2,60.32,94726,"R"
"605",2008,99,6,60.27,40310,"PG-13"
"606",1996,96,6.1,60.24,145331,"PG-13"
"607",2010,121,4.6,60.1,8811,"PG-13"
"608",1985,102,6.4,60.09,42141,"PG"
"609",2005,103,6.3,60.06,58238,"PG-13"
"610",2003,92,7,60.06,130293,"R"
"611",2009,81,5.8,60.05,136657,"R"
"612",2010,101,5,60.02,39660,"PG"
"613",2000,89,5.1,60.02,11097,"PG"
"614",1983,125,5,59.95,61545,"PG"
"615",1997,105,5.2,59.93,21852,"PG"
"616",2006,101,7.8,59.89,420502,"R"
"617",1991,102,6.9,59.85,68185,"PG"
"618",2018,102,6.2,59.84,63418,"R"
"619",2003,135,7.6,59.7,407259,"R"
"620",2016,94,6,59.69,26905,"PG-13"
"621",2012,83,6.4,59.65,258706,"R"
"622",1991,105,7,59.51,88887,"R"
"623",2004,93,5.3,59.48,58019,"PG-13"
"624",2017,101,6,59.28,20644,"PG"
"625",2014,83,6,59.17,15771,"PG"
"626",2014,99,8.1,59.1,659632,"R"
"627",2015,99,6.1,58.88,91253,"R"
"628",2007,85,6.7,58.87,65405,"PG"
