"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"282",1999,105,5.8,73.65,118685,"R"
"283",2009,109,7.4,73.34,259850,"R"
"284",2000,112,5.8,73.21,117711,"R"
"285",2013,131,6.4,73.1,197777,"PG-13"
"286",2005,128,6.4,72.71,94570,"PG-13"
"287",2015,142,7.6,72.31,271997,"PG-13"
"288",2008,90,6.6,72.27,141273,"PG-13"
"289",2016,103,7.2,72.08,272805,"PG-13"
"290",1995,105,6.9,72.08,72874,"R"
"291",2014,103,6.4,71.96,130174,"R"
"292",2002,116,7.1,71.76,118219,"PG-13"
"293",2013,100,6.2,71.63,163378,"PG-13"
"294",2013,115,6.7,71.35,99757,"PG-13"
"295",1989,97,6.2,71.08,60525,"PG"
"296",2001,124,6.8,71.07,115856,"R"
"297",1996,108,6,70.77,87554,"R"
"298",1976,138,8,70.6,96109,"PG"
"299",2005,132,8.2,70.51,980036,"R"
"300",1995,101,5.8,70.45,96398,"PG-13"
"301",1991,189,8,70.41,134485,"R"
"302",2000,99,5.9,70.33,70985,"R"
"303",1979,126,6.3,70.31,84955,"PG"
"304",2006,129,5.9,70.28,75455,"PG-13"
"305",2008,112,5.7,70.23,70200,"PG-13"
"306",1998,103,6.4,70.12,67299,"PG"
"307",2003,111,8.1,70.1,944142,"R"
"308",2012,110,6.5,70.01,64583,"R"
"309",2001,99,6.5,69.77,171624,"R"
"310",2018,98,5.1,69.49,46799,"R"
"311",1999,113,6.8,69.3,83413,"R"
"312",2000,124,5.9,69.24,56488,"PG-13"
"313",1998,130,5.2,69.12,67796,"PG-13"
"314",1985,112,7.4,68.71,81096,"R"
"315",2005,124,6,68.67,88605,"PG-13"
"316",2013,106,5.8,68.56,105282,"PG"
"317",1999,93,6.3,68.52,71087,"PG-13"
"318",2018,102,5.8,68.42,91109,"PG-13"
"319",2009,108,5,68.26,28061,"PG-13"
"320",1983,131,6.6,67.9,89552,"PG"
"321",1995,127,6.6,67.82,103388,"R"
"322",2018,103,5.7,67.75,47193,"PG-13"
"323",1983,117,6.6,67.64,38414,"R"
"324",1998,107,6.5,67.64,75453,"R"
"325",2010,103,6,67.63,212908,"PG-13"
"326",1995,170,8.2,67.44,542686,"R"
"327",2002,118,7.2,67.36,260543,"R"
"328",2013,98,5.3,67.35,192387,"R"
"329",2016,81,6.3,67.27,106566,"PG-13"
"330",2009,98,5.7,67.17,52929,"PG"
"331",2019,121,6.4,67.16,50029,"R"
"332",1997,108,5.9,67.13,76640,"PG-13"
"333",1999,122,5.8,66.89,102442,"R"
"334",2002,98,6.4,66.82,64633,"R"
"335",2004,91,5.8,66.64,62535,"PG-13"
"336",2012,109,6.5,66.53,113262,"R"
"337",1999,118,6.7,66.52,146678,"R"
"338",2012,113,7.4,66.49,513674,"R"
"339",2009,82,5.2,66.48,92205,"R"
"340",2004,137,8,66.21,644972,"R"
"341",2016,120,5.7,66.18,100695,"PG-13"
"342",2004,129,6.6,65.96,99297,"R"
"343",1997,89,4.8,65.89,90487,"PG-13"
"344",1995,119,6.9,65.81,222096,"R"
"345",1987,117,6.6,65.67,22192,"R"
"346",2009,106,6.4,65.45,178421,"R"
"347",2012,131,5.8,65.42,229143,"PG-13"
"348",1987,109,7.6,65.21,225851,"R"
"349",2015,94,6.2,65.21,106560,"PG-13"
"350",2016,129,6.5,65.08,228718,"PG-13"
"351",1994,125,6.2,65.01,50437,"R"
"352",2009,97,5.5,65,92210,"R"
"353",1997,138,8.2,64.62,507546,"R"
"354",2012,84,7,64.58,233347,"PG-13"
"355",2008,91,5,64.51,189681,"R"
"356",2013,85,5.7,64.47,191090,"R"
"357",2006,126,7,64.04,282498,"PG-13"
"358",2017,123,7.3,63.86,336512,"R"
"359",2011,113,6.8,63.69,239791,"PG-13"
"360",1965,130,7,63.6,98699,"PG"
"361",2006,132,6,63.45,105824,"R"
"362",1989,104,6.4,63.41,91615,"R"
"363",2007,93,5.9,63.3,134531,"R"
"364",1993,129,6.2,63.1,40535,"R"
"365",2019,108,6.2,62.74,41424,"PG-13"
"366",2016,99,5.9,62.68,135236,"R"
"367",1992,112,7.2,62.55,48666,"R"
"368",2006,104,6,62.51,227631,"PG-13"
"369",2011,106,7,62.5,233265,"PG-13"
"370",2006,106,6.7,62.32,183768,"R"
"371",1981,127,6.8,62.3,86449,"PG"
"372",2010,103,5.8,61.98,99893,"R"
"373",1990,115,6.6,61.49,76872,"R"
"374",2016,107,7.1,61.43,139981,"PG-13"
"375",1997,116,6.2,61.36,59718,"PG-13"
"376",2000,128,6.4,61.34,42828,"R"
"377",2000,107,6.3,61.33,91955,"R"
"378",1990,107,7.8,61.28,171858,"R"
"379",2013,153,8.1,61,552393,"R"
"380",1997,144,7.5,60.98,311617,"R"
"381",2000,114,5.7,60.88,68212,"PG"
"382",2006,98,5.6,60.67,94242,"PG-13"
"383",1997,115,6.6,60.53,61394,"R"
"384",2008,96,7,60.36,295517,"R"
"385",1996,96,6.1,60.24,145331,"PG-13"
"386",1995,108,5.8,60.07,71077,"R"
"387",2006,167,6.7,59.95,95860,"R"
"388",1987,107,7.8,59.74,355379,"R"
"389",2003,98,5.8,59.69,102764,"R"
"390",1991,105,7,59.51,88887,"R"
"391",2004,93,5.3,59.48,58019,"PG-13"
"392",2001,106,6.4,59.07,96096,"PG-13"
"393",1996,116,6.6,59.03,48128,"R"
"394",2012,118,6.3,58.88,232946,"PG-13"
"395",2016,118,6.1,58.7,128413,"PG-13"
"396",2014,117,6.2,58.61,209890,"PG-13"
"397",1989,113,6.8,58.57,35948,"R"
"398",2018,119,6.3,58.25,176669,"PG-13"
"399",1993,115,6.7,58.06,150332,"R"
"400",2018,143,6.2,58.03,99766,"PG-13"
"401",2011,118,7.3,58.01,202054,"R"
"402",2004,113,7.6,57.94,432937,"R"
"403",1987,88,6.3,57.92,31895,"PG-13"
"404",2005,85,6.4,57.89,108129,"PG-13"
"405",2004,119,6.7,57.76,208022,"R"
"406",2010,107,6.2,57.74,55135,"PG-13"
"407",1989,103,6.6,57.47,89190,"R"
"408",2006,143,8,57.37,475302,"R"
"409",1994,110,5.6,57.36,60043,"R"
"410",1998,131,6.5,57.17,91622,"PG-13"
"411",1995,129,8,57.14,552175,"R"
"412",1992,111,6.3,57.14,13808,"R"
"413",2015,100,5.6,57.02,9316,"PG-13"
"414",2019,99,6.3,57.01,66855,"PG-13"
"415",2008,92,5.8,56.75,109963,"R"
"416",1996,133,6.4,56.57,48247,"R"
