"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"343",1980,99,6.1,41.68,11270,"R"
"344",2017,137,6.5,41.19,150611,"PG-13"
"345",1986,98,6.7,40.7,54081,"PG"
"346",2017,107,6.3,40.56,185644,"PG-13"
"347",1989,90,6.9,40.49,104156,"PG"
"348",1986,96,7.5,40.46,150279,"R"
"349",1984,116,6.8,40.2,47811,"PG"
"350",2010,100,5.2,40.17,95363,"R"
"351",2002,100,6.7,40.12,237412,"R"
"352",1998,104,6.5,40.06,106168,"R"
"353",2000,109,7.1,39.24,218042,"R"
"354",2005,93,3.5,39.18,29049,"PG"
"355",2014,91,5.8,38.92,17900,"PG"
"356",1986,94,7,38.75,61071,"PG-13"
"357",2009,89,6.3,38.58,165425,"PG-13"
"358",2011,89,3.5,38.54,21122,"PG"
"359",1984,107,8,38.4,761124,"R"
"360",2001,101,6.1,38.35,115542,"PG-13"
"361",1995,95,5.2,38.19,24172,"PG"
"362",2002,95,7.2,38.18,94880,"PG"
"363",1987,101,6.7,38.12,134977,"R"
"364",1987,96,7.1,38.12,163682,"PG"
"365",1991,93,6.3,38.04,59933,"PG"
"366",1996,106,6.3,37.77,201824,"PG-13"
"367",2004,106,6,37.76,79900,"PG"
"368",2003,87,5.1,37.57,3937,"PG"
"369",2011,109,6.7,37.52,354409,"PG-13"
"370",2011,104,7,37.41,226072,"R"
"371",1998,134,6.1,37.02,95853,"PG-13"
"372",2002,94,5.2,36.99,12924,"PG"
"373",1999,94,5,36.83,12359,"PG"
"374",1994,109,4.6,36.76,62500,"PG-13"
"375",2008,105,6.4,36.32,191621,"R"
"376",1992,102,6,36.3,79379,"R"
"377",1985,107,6.3,36.2,121363,"PG-13"
"378",1997,95,3.7,35.93,44333,"PG-13"
"379",2005,136,6.8,35.82,292650,"PG-13"
"380",2019,123,6.6,35.4,137179,"PG-13"
"381",2012,102,5.7,35.35,117951,"R"
"382",2012,87,6.9,35.29,92568,"PG"
"383",2000,90,3.6,35.27,20310,"PG"
"384",2008,98,5.9,35.16,52968,"PG"
"385",2016,112,5.2,34.92,94086,"PG-13"
"386",1995,96,5.6,34.69,106161,"R"
"387",2000,123,5.9,34.6,112916,"PG-13"
"388",2004,108,8.3,34.4,854671,"R"
"389",1997,110,5.8,33.96,23342,"R"
"390",1990,96,6.4,33.88,55602,"R"
"391",2003,134,5.5,33.72,86238,"R"
"392",2017,109,5.3,33.7,85810,"PG-13"
"393",1968,112,8,33.4,159314,"G"
"394",2016,104,5.6,33.37,14279,"PG"
"395",1982,96,6.8,33,108796,"PG"
"396",1987,106,6.7,32.95,29727,"PG"
"397",1982,117,8.1,32.87,653549,"R"
"398",2018,115,6.9,32.73,251859,"R"
"399",2001,106,6.4,32.13,78787,"PG-13"
"400",2005,121,5.1,32.12,50360,"PG-13"
"401",1992,108,5.5,32.1,32565,"R"
"402",2018,101,7.9,32.02,121609,"PG-13"
"403",2009,111,6.1,31.81,102454,"PG-13"
"404",2009,79,7.1,31.74,128435,"PG-13"
"405",2015,120,6.8,31.57,219634,"R"
"406",2003,135,5.5,31.19,88146,"PG-13"
"407",1984,137,6.5,30.93,115160,"PG-13"
"408",1995,111,6.6,30.86,27601,"PG-13"
