"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"970",2004,101,5.6,80.28,177999,"PG-13"
"971",2008,99,6.1,80.28,160203,"PG-13"
"972",2005,104,5.1,80.27,73658,"PG-13"
"973",1998,97,6.8,80.25,128468,"PG-13"
"974",2006,108,6.2,80.24,170813,"R"
"975",2007,105,6.8,80.21,211465,"PG-13"
"976",2006,92,5.7,80.2,77826,"PG"
"977",2008,88,6.1,80.17,277883,"PG-13"
"978",2017,110,5.4,80.1,163313,"PG-13"
"979",2015,103,6.3,80.08,76030,"PG"
"980",2012,130,7,80.07,293217,"PG-13"
"981",2008,85,7,80.05,359736,"PG-13"
"982",1984,107,6.6,80.04,65741,"PG"
"983",2010,108,6.3,80.01,132432,"PG-13"
"984",1976,139,6.1,80,9222,"R"
"985",2009,121,6.2,79.96,213016,"PG-13"
"986",2011,146,7.2,79.88,140421,"PG-13"
"987",1986,94,6,79.82,48761,"PG-13"
"988",2019,114,5.6,79.8,84463,"PG-13"
"989",2012,113,6.2,79.73,236844,"PG-13"
"990",1974,122,5.9,79.7,12987,"PG"
"991",1983,114,7.1,79.57,85951,"PG"
"992",2009,102,4.4,79.57,37928,"G"
"993",2008,104,5.5,79.37,158698,"PG-13"
"994",2011,105,7.4,79.25,506214,"PG-13"
"995",2016,108,6,79.21,83987,"R"
"996",1991,128,7.3,79.1,160769,"R"
"997",1982,113,7.7,78.91,107918,"PG"
"998",1979,117,8.4,78.9,742721,"R"
"999",1982,96,6.9,78.87,65221,"R"
"1000",1988,85,7.6,78.76,141521,"PG-13"
"1001",2015,105,5.6,78.75,124594,"PG-13"
"1002",1998,114,6.7,78.69,109455,"PG-13"
"1003",1991,88,6,78.66,49187,"PG"
"1004",1996,162,7.4,78.65,170426,"R"
"1005",2001,146,7.2,78.62,280603,"PG-13"
"1006",1988,104,5.9,78.22,76111,"R"
"1007",2002,138,7.1,78.12,124615,"R"
"1008",2011,104,6.2,78.05,127936,"PG-13"
"1009",2014,118,6.1,78.03,120107,"PG-13"
"1010",1978,99,6.3,78,5714,"PG"
"1011",2004,146,7.7,77.91,315639,"R"
"1012",2004,128,7.3,77.87,379807,"PG-13"
"1013",1991,137,6.7,77.87,68118,"R"
"1014",2002,167,7.5,77.81,384704,"R"
"1015",1993,112,5.9,77.7,65094,"PG"
"1016",2011,107,7.3,77.59,207746,"PG"
"1017",2005,80,7.5,77.44,54330,"G"
"1018",2018,111,5.6,77.34,29398,"PG-13"
"1019",1993,125,7.7,77.32,212602,"PG-13"
"1020",2012,105,6,77.27,24158,"PG"
"1021",2009,101,6.7,77.23,97924,"PG"
"1022",2010,117,6.7,77.22,239586,"PG-13"
"1023",2000,116,6.6,77.09,74033,"PG-13"
"1024",2016,113,6.2,77.04,84937,"PG"
"1025",2008,111,6.1,76.81,148202,"PG-13"
"1026",1979,95,7.6,76.66,30649,"G"
"1027",2001,122,7.7,76.63,367778,"R"
"1028",1982,114,7.3,76.61,134225,"PG"
"1029",1995,106,6,76.59,32451,"PG"
"1030",1984,106,6.9,76.57,78164,"PG"
"1031",2000,78,6.1,76.51,10517,"G"
"1032",1984,105,6.7,76.47,70991,"PG"
"1033",2010,109,6.3,76.42,173443,"PG-13"
"1034",1940,125,7.8,76.41,84169,"G"
"1035",2014,95,7.2,76.27,90340,"PG"
"1036",1987,119,7.9,76.27,264276,"R"
"1037",1992,115,6.8,76.25,71222,"R"
"1038",2016,102,6.7,76.23,51174,"PG"
"1039",2005,110,5.4,76.23,88382,"PG-13"
"1040",1985,117,6.7,76.11,54151,"PG-13"
"1041",1997,135,6.7,75.98,89925,"R"
"1042",2005,121,7,75.98,288901,"R"
"1043",1985,106,6.1,75.97,48142,"PG"
"1044",2003,88,5,75.85,39757,"PG"
"1045",2000,125,6.8,75.79,99528,"PG-13"
"1046",2002,102,6.3,75.78,28393,"PG-13"
"1047",2015,121,7.1,75.76,200520,"PG-13"
"1048",2008,120,7,75.75,248469,"PG-13"
"1049",1994,118,6.6,75.67,72618,"PG"
"1050",2011,106,6.6,75.66,208179,"PG-13"
"1051",2006,110,5.6,75.63,76193,"PG-13"
"1052",2011,124,7.1,75.62,129725,"PG"
"1053",2013,109,6.7,75.61,186902,"R"
"1054",2011,133,7.6,75.61,339273,"PG-13"
"1055",2002,127,6.9,75.6,30769,"G"
"1056",1995,178,8.3,75.6,917800,"R"
"1057",2009,88,7.6,75.59,493209,"R"
"1058",2003,88,7.1,75.59,207702,"R"
"1059",1999,162,6.9,75.53,108418,"R"
"1060",1992,112,7.7,75.51,140773,"R"
"1061",2017,118,6.9,75.47,172734,"R"
"1062",2016,112,6.5,75.4,158650,"R"
"1063",1998,169,6.6,75.38,37501,"PG-13"
"1064",2004,80,5,75.37,75023,"PG"
"1065",2004,152,7.7,75.33,131539,"PG-13"
"1066",2009,100,7.7,75.29,184200,"PG"
"1067",1993,76,8,75.08,278370,"PG"
"1068",2005,119,6.7,75.07,113931,"PG-13"
"1069",2006,104,5.1,75.03,118966,"PG"
"1070",1991,110,7.2,74.89,66941,"PG"
"1071",1979,122,6.1,74.87,14425,"Approved"
"1072",1991,132,6.7,74.79,15105,"R"
"1073",1959,212,8.1,74.7,207910,"G"
"1074",2004,115,6.5,74.54,53563,"PG-13"
"1075",2005,109,6.8,74.49,128196,"R"
"1076",1998,102,5.8,74.33,69967,"PG-13"
"1077",2007,122,8.1,74.28,796964,"R"
"1078",2017,122,6.4,74.26,238424,"R"
"1079",2011,91,3.3,74.16,74066,"PG"
"1080",1988,74,6.7,74.15,41021,"G"
"1081",2005,124,8,74.1,724926,"R"
"1082",2001,104,6.4,74.08,71478,"R"
"1083",2017,89,6.2,73.92,23376,"PG"
"1084",2011,126,7.5,73.86,292036,"PG"
"1085",2004,99,5.3,73.78,40267,"PG"
"1086",1988,92,7.5,73.71,243342,"PG"
"1087",1979,94,7.2,73.69,50535,"R"
"1088",2006,91,6.6,73.66,93699,"PG"
"1089",2019,106,5.9,73.65,44319,"R"
