"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"418",2012,110,5.7,41.15,67448,"PG-13"
"419",2006,89,5.8,41.01,76960,"PG-13"
"420",2018,110,7.6,40.83,88591,"PG-13"
"421",1981,116,6.9,40.72,11287,"PG"
"422",2019,109,5.4,40.67,8195,"PG-13"
"423",2009,125,6.1,40.57,45893,"PG-13"
"424",1989,90,6.9,40.49,104156,"PG"
"425",1986,97,6.8,40.47,70102,"PG-13"
"426",2002,104,5.6,40.39,29047,"PG-13"
"427",1981,195,7.3,40.38,19615,"PG"
"428",2001,123,6.2,40.34,49709,"PG-13"
"429",1992,89,5.5,40.23,6638,"R"
"430",2004,108,6,40.23,100120,"R"
"431",1983,133,6.5,40.22,11842,"PG"
"432",1993,121,7.6,40.16,74910,"R"
"433",2006,113,7.6,40.14,211412,"PG-13"
"434",2016,124,7.1,40.1,131994,"R"
"435",1975,136,6.3,40.06,4703,"PG"
"436",1987,107,6.6,40.05,38806,"PG"
"437",2006,110,7.6,39.87,343372,"PG-13"
"438",2000,119,6.7,39.79,214016,"R"
"439",1974,86,6.2,39.55,4178,"G"
"440",2009,112,7.2,39.46,81227,"R"
"441",2010,119,6.4,39.44,74022,"PG-13"
"442",1990,102,5.8,39.4,32879,"PG"
"443",1987,95,6,39.32,19806,"PG-13"
"444",2018,103,5.8,39.28,18627,"PG-13"
"445",1999,148,6.7,39.26,34693,"PG-13"
"446",1977,93,8,39.2,242013,"PG"
"447",2011,112,5.9,39.05,55550,"PG-13"
"448",2005,119,6.5,39.01,52011,"PG"
"449",1968,138,7.6,38.9,28092,"PG"
"450",1995,111,6.6,38.9,45049,"PG-13"
"451",1986,94,7,38.75,61071,"PG-13"
"452",1986,113,6.2,38.7,13638,"R"
"453",1984,90,5.8,38.68,5502,"PG"
"454",2007,127,7.6,38.63,244369,"PG-13"
"455",2014,94,5.1,38.54,103333,"R"
"456",2012,123,5.9,38.52,71358,"PG-13"
"457",2005,129,7.8,38.41,238117,"PG"
"458",2006,112,6.4,38.36,27023,"PG-13"
"459",1999,97,6.8,38.33,172698,"R"
"460",2015,117,7.5,38.32,122309,"PG-13"
"461",1995,127,6.5,38.29,17230,"R"
"462",1974,88,5.7,38.23,6885,"G"
"463",1999,97,7.3,38.18,279233,"PG-13"
"464",2002,96,5.6,37.95,68419,"R"
