"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"367",2009,100,7.7,75.29,184200,"PG"
"368",2005,119,6.7,75.07,113931,"PG-13"
"369",1991,132,6.7,74.79,15105,"R"
"370",1959,212,8.1,74.7,207910,"G"
"371",2004,115,6.5,74.54,53563,"PG-13"
"372",2005,109,6.8,74.49,128196,"R"
"373",2007,122,8.1,74.28,796964,"R"
"374",2001,104,6.4,74.08,71478,"R"
"375",2011,126,7.5,73.86,292036,"PG"
"376",2009,109,7.4,73.34,259850,"R"
"377",2002,83,7.1,73.28,60476,"G"
"378",2016,103,4.6,73.16,7253,"PG-13"
"379",2013,131,6.4,73.1,197777,"PG-13"
"380",2006,90,5.5,72.78,26050,"PG"
"381",2015,142,7.6,72.31,271997,"PG-13"
"382",2011,113,6.9,72.29,21375,"PG"
"383",2008,90,6.6,72.27,141273,"PG-13"
"384",2009,111,7.2,72.09,37415,"PG"
"385",2016,103,7.2,72.08,272805,"PG-13"
"386",1964,170,7.8,72,82265,"G"
"387",2002,116,7.1,71.76,118219,"PG-13"
"388",1990,104,5.4,71.61,21429,"PG"
"389",2001,97,6.7,71.54,213799,"R"
"390",1995,135,7.6,71.52,67985,"PG-13"
"391",2000,121,7.2,71.51,171780,"PG-13"
"392",2004,127,7.5,71.5,173039,"R"
"393",2013,115,6.7,71.35,99757,"PG-13"
"394",2008,96,6.5,71.2,84212,"PG"
"395",1989,97,6.2,71.08,60525,"PG"
"396",2001,124,6.8,71.07,115856,"R"
"397",2001,114,5.9,70.84,123107,"PG-13"
"398",1976,138,8,70.6,96109,"PG"
"399",2013,123,6.7,70.53,14376,"R"
"400",2005,132,8.2,70.51,980036,"R"
"401",1991,189,8,70.41,134485,"R"
"402",2006,129,5.9,70.28,75455,"PG-13"
"403",2006,102,7.1,70.27,196180,"PG"
"404",2015,130,7.8,70.26,328405,"R"
"405",1993,103,7,70.17,41059,"PG-13"
"406",1992,117,5.5,70.1,24483,"R"
"407",2012,110,6.5,70.01,64583,"R"
"408",1989,145,7.2,70,92713,"R"
"409",2008,123,7.6,69.95,275523,"PG-13"
"410",2002,116,6.1,69.6,17557,"PG-13"
"411",2000,124,5.9,69.24,56488,"PG-13"
"412",1985,112,7.4,68.71,81096,"R"
"413",2018,104,6.1,68.57,21911,"PG-13"
"414",1984,111,6.6,68.39,18148,"R"
"415",2009,108,5,68.26,28061,"PG-13"
"416",1995,127,6.6,67.82,103388,"R"
"417",2015,120,6.5,67.79,12299,"PG"
"418",1998,107,6.5,67.64,75453,"R"
"419",1995,170,8.2,67.44,542686,"R"
"420",2003,117,7,67.41,72693,"PG"
"421",2018,118,7.3,67.36,65641,"PG-13"
"422",2002,118,7.2,67.36,260543,"R"
"423",2004,136,6.7,67.29,75125,"PG-13"
"424",2016,81,6.3,67.27,106566,"PG-13"
"425",2005,136,7.3,67.26,117273,"PG-13"
"426",2016,139,8.1,67.21,392947,"R"
"427",1980,124,7.5,67.18,15750,"PG"
"428",1995,124,5.9,67.05,9015,"R"
"429",2002,98,6.4,66.82,64633,"R"
"430",1990,162,7.6,66.67,337055,"R"
"431",2007,102,7,66.66,104650,"R"
"432",2004,91,5.8,66.64,62535,"PG-13"
"433",1994,133,7.6,66.64,138726,"R"
"434",1995,91,6.7,66.6,111925,"G"
"435",2012,109,6.5,66.53,113262,"R"
"436",1999,118,6.7,66.52,146678,"R"
"437",2012,113,7.4,66.49,513674,"R"
"438",2000,136,7.3,66.4,80159,"PG-13"
"439",1998,128,6.5,66.31,112803,"PG"
"440",2003,125,8,66.26,398545,"PG-13"
"441",2015,115,5.6,66.01,49777,"R"
"442",2004,129,6.6,65.96,99297,"R"
"443",1998,121,7,65.71,66409,"PG-13"
"444",2012,114,4.9,65.65,9743,"PG-13"
"445",2006,104,6.5,65.33,106712,"PG-13"
"446",2004,106,5.7,65.11,13734,"PG-13"
"447",2002,125,7.1,65.02,119217,"R"
"448",2014,150,6,65.01,154191,"PG-13"
"449",1994,125,6.2,65.01,50437,"R"
"450",1995,114,6.8,65,49406,"PG-13"
"451",2012,106,5.6,64.94,81032,"PG"
"452",1983,93,4.7,64.89,13753,"PG"
"453",1983,91,6.5,64.8,19961,"PG"
"454",1997,138,8.2,64.62,507546,"R"
"455",2012,84,7,64.58,233347,"PG-13"
"456",2017,100,7.2,64.51,60028,"PG"
"457",2008,91,5,64.51,189681,"R"
"458",1989,107,7.5,64.43,102840,"PG"
"459",2004,135,7.5,64.38,44767,"PG"
"460",2009,102,6.3,64.17,171716,"PG-13"
"461",2010,94,6.2,64,40025,"PG"
"462",1988,113,6.8,64,49163,"R"
"463",2013,105,6.6,63.91,123911,"PG-13"
"464",1992,156,8,63.9,242193,"R"
"465",2003,117,6.5,63.86,74352,"PG-13"
"466",2017,123,7.3,63.86,336512,"R"
"467",1999,108,6.8,63.84,42994,"R"
"468",2012,100,6.3,63.54,39390,"PG-13"
"469",1983,99,6.8,63.5,76116,"R"
"470",1981,83,7.3,63.46,80035,"G"
"471",2009,107,7.1,63.41,135610,"PG-13"
"472",2006,107,5.2,63.26,10281,"PG-13"
"473",2008,111,7.1,63.17,253168,"R"
"474",1993,129,6.2,63.1,40535,"R"
"475",2010,95,5.2,63.08,88075,"R"
"476",2010,107,6,62.95,77386,"PG"
"477",2005,125,7,62.66,166118,"R"
"478",2015,123,6.9,62.58,160366,"R"
"479",1992,112,7.2,62.55,48666,"R"
"480",2012,88,6.4,62.32,141281,"R"
"481",2010,103,5.8,61.98,99893,"R"
"482",1979,121,6.3,61.8,7045,"PG"
"483",1970,172,7.9,61.7,90234,"GP"
"484",2016,109,7.1,61.69,18818,"PG"
"485",2005,144,8,61.65,169758,"PG-13"
"486",1990,115,6.6,61.49,76872,"R"
"487",2016,107,7.1,61.43,139981,"PG-13"
"488",2007,109,5.4,61.36,21295,"PG-13"
"489",2000,128,6.4,61.34,42828,"R"
"490",1990,107,7.8,61.28,171858,"R"
"491",2004,118,7.2,61.19,56017,"PG-13"
"492",2013,153,8.1,61,552393,"R"
"493",1997,144,7.5,60.98,311617,"R"
"494",1989,116,6.1,60.86,18986,"R"
"495",2000,100,5.7,60.79,102985,"PG-13"
"496",2014,113,4.7,60.76,38867,"PG"
"497",2006,98,5.6,60.67,94242,"PG-13"
"498",1999,114,7.1,60.65,155487,"R"
"499",1997,115,6.6,60.53,61394,"R"
"500",2013,100,4.8,60.52,185760,"PG-13"
"501",2012,101,6.5,60.46,97018,"PG-13"
"502",2008,96,7,60.36,295517,"R"
"503",1988,101,7,60.33,81733,"PG-13"
"504",1996,96,6.1,60.24,145331,"PG-13"
"505",2010,121,4.6,60.1,8811,"PG-13"
"506",2005,103,6.3,60.06,58238,"PG-13"
"507",2003,92,7,60.06,130293,"R"
"508",1998,114,6,60.05,23332,"PG-13"
"509",2006,167,6.7,59.95,95860,"R"
"510",2006,101,7.8,59.89,420502,"R"
"511",1991,102,6.9,59.85,68185,"PG"
"512",2010,123,7.2,59.71,25233,"PG"
"513",2014,138,5.7,59.7,17825,"PG-13"
"514",2003,135,7.6,59.7,407259,"R"
"515",2001,106,6.4,59.07,96096,"PG-13"
"516",1996,116,6.6,59.03,48128,"R"
"517",1981,125,7.2,58.97,51123,"PG"
"518",1992,140,6.6,58.88,56327,"PG-13"
"519",1980,104,5.8,58.85,59688,"R"
"520",2011,120,6.9,58.71,107724,"PG-13"
