"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"332",1991,91,6.1,39.67,20398,"R"
"333",1995,122,7.5,39.39,84831,"R"
"334",2008,110,6.1,39.26,47266,"PG-13"
"335",2007,113,7.2,39.02,175974,"R"
"336",2016,96,6.5,38.56,107676,"PG-13"
"337",1986,107,6.6,38.5,10733,"R"
"338",2006,125,6.9,38.43,45104,"PG-13"
"339",1988,126,7.5,38.41,68170,"R"
"340",1984,93,5.5,38.35,8594,"PG"
"341",1995,127,6.5,38.29,17230,"R"
"342",1979,103,7.3,38.2,7106,"PG"
"343",2002,95,5.5,38.08,58885,"PG-13"
"344",1991,107,6.9,38.02,24951,"R"
"345",2008,96,4.5,37.93,9281,"PG-13"
"346",2011,107,4.4,37.92,24285,"PG-13"
"347",1988,91,6.3,37.9,38191,"R"
"348",1998,123,7,37.56,81613,"R"
"349",2012,116,7.3,37.4,219344,"R"
"350",1980,131,7.2,37.12,14958,"R"
"351",2011,83,6.1,37.05,89792,"R"
"352",2009,127,7.1,37.02,130131,"PG-13"
"353",1993,144,7.9,36.95,190672,"R"
"354",2013,111,6.3,36.92,105319,"R"
"355",2003,116,7.3,36.91,119918,"PG-13"
"356",2006,102,6.6,36.88,123550,"PG-13"
"357",1995,102,6.4,36.85,23272,"R"
"358",2001,98,6.6,36.85,59112,"R"
"359",2009,122,6.7,36.84,39267,"R"
"360",2007,122,6.7,36.79,56712,"R"
"361",1972,123,7.4,36.73,26100,"PG"
"362",2004,97,4.5,36.61,38722,"PG-13"
"363",2007,123,7.5,36.61,63626,"PG-13"
"364",2006,108,6.1,36.28,46556,"PG-13"
"365",2016,116,7.4,36.26,254462,"R"
"366",1996,123,6.9,36.05,13081,"R"
"367",2005,108,6.6,36.02,69063,"R"
"368",2001,130,7.4,35.93,36383,"R"
"369",2009,92,5.6,35.92,40533,"PG"
"370",1971,102,7.7,35.9,135698,"R"
"371",2003,88,5.6,35.76,45553,"PG-13"
"372",2008,141,7.7,35.74,227601,"R"
"373",2006,108,6.7,35.66,133636,"R"
"374",1981,122,6.4,35.61,5096,"R"
