"","titles","years"
"61","X-Men: The Last Stand",2006
"62","War of the Worlds",2005
"63","X-Men: Days of Future Past",2014
"64","Doctor Strange",2016
"65","The Lost World: Jurassic Park",1997
"66","Justice League",2017
"67","Star Trek Into Darkness",2013
"68","The Martian",2015
"69","Signs",2002
"70","Logan",2017
"71","WALL·E",2008
"72","Big Hero 6",2014
"73","Ant-Man and the Wasp",2018
"74","X2: X-Men United",2003
"75","Solo: A Star Wars Story",2018
"76","Venom",2018
"77","Back to the Future",1985
"78","Dawn of the Planet of the Apes",2014
"79","Terminator 2: Judgment Day",1991
"80","The Amazing Spider-Man 2",2014
"81","World War Z",2013
"82","Armageddon",1998
"83","Godzilla",2014
"84","Superman Returns",2006
"85","Monsters vs. Aliens",2009
"86","Teenage Mutant Ninja Turtles",2014
"87","Men in Black II",2002
"88","Spider-Man: Into the Spider-Verse",2018
"89","A Quiet Place",2018
"90","Interstellar",2014
"91","The Day After Tomorrow",2004
"92","Jurassic Park III",2001
"93","Ant-Man",2015
"94","Planet of the Apes",2001
"95","X-Men Origins: Wolverine",2009
"96","Men in Black 3",2012
"97","Home",2015
"98","Rise of the Planet of the Apes",2011
"99","Captain America: The First Avenger",2011
"100","Tron",2010
"101","The Matrix",1999
"102","Kong: Skull Island",2017
"103","2012",2009
"104","Star Trek Beyond",2016
"105","X-Men",2000
"106","X-Men: Apocalypse",2016
"107","Fantastic Four",2005
"108","Mad Max: Fury Road",2015
"109","G.I. Joe: The Rise of Cobra",2009
"110","Divergent",2014
"111","Terminator 3: Rise of the Machines",2003
"112","Megamind",2010
"113","War for the Planet of the Apes",2017
"114","X: First Class",2011
"115","Lilo & Stitch",2002
"116","I, Robot",2004
"117","Pokémon Detective Pikachu",2019
"118","The Meg",2018
"119","Deep Impact",1998
"120","The Matrix Revolutions",2003
"121","Ready Player One",2018
"122","Godzilla",1998
"123","Chicken Little",2005
"124","Teenage Mutant Ninja Turtles",1990
"125","The Incredible Hulk",2008
"126","Superman",1978
"127","The Wolverine",2013
"128","Hulk",2003
"129","Close Encounters of the Third Kind",1977
"130","Minority Report",2002
"131","Fantastic Four: Rise of the Silver Surfer",2007
"132","Honey, I Shrunk the Kids",1989
"133","Insurgent",2015
"134","Transformers: The Last Knight",2017
"135","The Nutty Professor",1996
"136","Ghostbusters",2016
"137","Robots",2005
"138","Bumblebee",2018
"139","Super 8",2011
"140","Lucy",2014
"141","Prometheus",2012
"142","The Truman Show",1998
"143","Terminator Salvation",2009
"144","Cloudy with a Chance of Meatballs",2009
"145","Nutty Professor II: The Klumps",2000
"146","G.I. Joe: Retaliation",2013
"147","Cloudy with a Chance of Meatballs 2",2013
"148","G-Force",2009
"149","Total Recall",1990
"150","Back to the Future Part II",1989
"151","Green Lantern",2011
"152","District 9",2009
"153","Wild Wild West",1999
"154","Spy Kids",2001
"155","Ghostbusters II",1989
"156","Face/Off",1997
"157","Spy Kids 3-D: Game Over",2003
"158","Mr. Peabody & Sherman",2014
"159","Glass",2019
"160","Godzilla: King of the Monsters",2019
"161","Star Trek IV: The Voyage Home",1986
"162","Superman II",1980
"163","Watchmen",2009
"164","Batman & Robin",1997
"165","Phenomenon",1996
"166","Journey 2: The Mysterious Island",2012
"167","Rise of the Guardians",2012
"168","Independence Day: Resurgence",2016
"169","The Maze Runner",2014
"170","Pacific Rim",2013
"171","Journey to the Center of the Earth",2008
"172","Rampage",2018
"173","Contact",1997
"174","Vanilla Sky",2001
"175","Arrival",2016
