"","titles","years"
"141","October Sky",1999
"142","Milk",2008
"143","The Soloist",2009
"144","Rob Roy",1995
"145","Good Night, and Good Luck.",2005
"146","Adrift",2018
"147","Get Rich or Die Tryin'",2005
"148","Get on Up",2014
"149","The Great Debaters",2007
"150","Riding in Cars with Boys",2001
"151","Elizabeth",1998
"152","The Iron Lady",2011
"153","I, Tonya",2017
"154","Spartacus",1960
"155","Serpico",1973
"156","A Walk in the Woods",2015
"157","The Insider",1999
"158","Girl, Interrupted",1999
"159","Molly's Game",2017
"160","Capote",2005
"161","A Man for All Seasons",1966
"162","Florence Foster Jenkins",2016
"163","Dallas Buyers Club",2013
"164","Rush",2013
"165","Glory",1989
"166","The Other Boleyn Girl",2008
"167","El Cid",1961
"168","Frida",2002
"169","Shadowlands",1993
"170","W.",2008
"171","All the Money in the World",2017
"172","Winchester",2018
"173","Wyatt Earp",1994
"174","In the Heart of the Sea",2015
"175","In the Name of the Father",1993
"176","Quiz Show",1994
"177","Gorillas in the Mist",1988
"178","Fearless",2006
"179","On the Basis of Sex",2018
"180","Quo Vadis",1951
"181","Hoffa",1992
"182","Hotel Rwanda",2004
"183","Raging Bull",1980
"184","Whiskey Tango Foxtrot",2016
"185","The Long Riders",1980
"186","Fighting with My Family",2019
"187","Won't You Be My Neighbor?",2018
"188","Rudy",1993
"189","The Lion in Winter",1968
"190","Victoria & Abdul",2017
"191","Il Postino",1994
"192","Snowden",2016
"193","The Right Stuff",1983
"194","The King and I",1956
"195","Amazing Grace",2006
"196","The Disaster Artist",2017
"197","Antwone Fisher",2002
"198","Free State of Jones",2016
"199","The People vs. Larry Flynt",1996
"200","Big Miracle",2012
"201","Fire in the Sky",1993
"202","Tucker: The Man and His Dream",1988
"203","8 Seconds",1994
"204","Blaze",1989
"205","Race",2016
"206","Mommie Dearest",1981
"207","Unplanned",2019
"208","Becoming Jane",2007
"209","Frost/Nixon",2008
"210","Into the Wild",2007
"211","Only the Brave",2017
"212","127 Hours",2010
"213","Jo Jo Dancer, Your Life Is Calling",1986
"214","Steve Jobs",2015
"215","Operation Finale",2018
"216","The Last King of Scotland",2006
"217","Paul, Apostle of Christ",2018
"218","The Babe",1992
"219","The Zookeeper's Wife",2017
"220","The Glass Castle",2017
"221","The Falcon and the Snowman",1985
"222","The Motorcycle Diaries",2004
"223","Mary Queen of Scots",2018
"224","Sergeant York",1941
"225","Elizabeth: The Golden Age",2007
"226","Jobs",2013
"227","Fruitvale Station",2013
"228","Confessions of a Dangerous Mind",2002
"229","Marie Antoinette",2006
"230","The Birth of a Nation",2016
"231","Eddie the Eagle",2015
"232","The Greatest Story Ever Told",1965
"233","Reversal of Fortune",1990
"234","The Infiltrator",2016
"235","The Greatest Game Ever Played",2005
"236","The Madness of King George",1994
"237","Alpha Dog",2006
"238","My Left Foot",1989
"239","The Case for Christ",2017
"240","My Week with Marilyn",2011
"241","King of Kings",1961
"242","In Love and War",1996
"243","Big Eyes",2014
"244","Hollywoodland",2006
"245","The Buddy Holly Story",1978
"246","The Messenger: The Story of Joan of Arc",1999
"247","Amelia",2009
"248","The Wonderful World of the Brothers Grimm",1962
"249","Borg vs. McEnroe",2017
"250","RBG",2018
"251","Missing",1982
"252","Stand and Deliver",1988
"253","Jackie",2016
"254","The Duchess",2008
