"","titles","years"
"77","G.I. Joe: The Rise of Cobra",2009
"78","Rambo: First Blood Part II",1985
"79","Lethal Weapon 2",1989
"80","War for the Planet of the Apes",2017
"81","True Lies",1994
"82","Taken",2008
"83","I, Robot",2004
"84","Lethal Weapon 3",1992
"85","The Fast and the Furious",2001
"86","The Meg",2018
"87","xXx",2002
"88","A Few Good Men",1992
"89","Rush Hour",1998
"90","Deep Impact",1998
"91","Ocean's 8",2018
"92","Rush Hour 3",2007
"93","Taken 2",2012
"94","Bad Boys II",2003
"95","Split",2016
"96","Dinosaur",2000
"97","The Conjuring",2013
"98","Ransom",1996
"99","Godzilla",1998
"100","Argo",2012
"101","Live Free or Die Hard",2007
"102","Wanted",2008
"103","The Rock",1996
"104","Mission: Impossible III",2006
"105","Angels & Demons",2009
"106","The Departed",2006
"107","Minority Report",2002
"108","Lara Croft: Tomb Raider",2001
"109","The Silence of the Lambs",1991
"110","Lethal Weapon 4",1998
"111","Insurgent",2015
"112","American Gangster",2007
"113","Kingsman: The Secret Service",2014
"114","Shutter Island",2010
"115","2 Fast 2 Furious",2003
"116","Super 8",2011
"117","The World Is Not Enough",1999
"118","Lucy",2014
"119","Safe House",2012
"120","Ocean's Twelve",2004
"121","Tomorrow Never Dies",1997
"122","Charlie's Angels",2000
"123","Traffic",2000
"124","G.I. Joe: Retaliation",2013
"125","Clear and Present Danger",1994
"126","The Hunt for Red October",1990
"127","The Bodyguard",1992
"128","The Bourne Identity",2002
"129","Speed",1994
"130","Total Recall",1990
"131","The Sum of All Fears",2002
"132","Salt",2010
"133","Basic Instinct",1992
"134","Now You See Me",2013
"135","Die Hard 2",1990
"136","The Nun",2018
"137","Ocean's Thirteen",2007
"138","S.W.A.T.",2003
"139","Double Jeopardy",1999
"140","The Towering Inferno",1974
"141","Ghost Rider",2007
"142","District 9",2009
"143","The Village",2004
"144","The Bourne Legacy",2012
"145","Face/Off",1997
"146","Enemy of the State",1998
"147","Glass",2019
"148","The Grudge",2004
"149","A Time to Kill",1996
"150","Paranormal Activity",2007
"151","Baby Driver",2017
"152","Epic",2013
"153","Captain Phillips",2013
"154","Black Swan",2010
"155","GoldenEye",1995
"156","The Italian Job",2003
"157","Road to Perdition",2002
"158","Paranormal Activity 3",2011
"159","The Mule",2018
"160","Dick Tracy",1990
"161","The Expendables",2010
"162","Jaws 2",1978
"163","The General's Daughter",1999
"164","The Girl with the Dragon Tattoo",2011
"165","The Mummy: Tomb of the Dragon Emperor",2008
"166","The Conjuring 2",2016
"167","The Maze Runner",2014
"168","In the Line of Fire",1993
"169","Annabelle: Creation",2017
"170","The Equalizer 2",2018
"171","Gone in 60 Seconds",2000
"172","Maverick",1994
"173","Sleeping with the Enemy",1991
"174","The Equalizer",2014
"175","Eraser",1996
"176","Noah",2014
"177","Con Air",1997
"178","Eagle Eye",2008
"179","Collateral",2004
"180","Contact",1997
"181","The Pelican Brief",1993
"182","Vanilla Sky",2001
"183","Arrival",2016
"184","Airport",1970
"185","Fifty Shades Freed",2018
"186","Cowboys & Aliens",2011
"187","Se7en",1995
"188","Passengers",2016
"189","Die Hard with a Vengeance",1995
"190","Olympus Has Fallen",2013
"191","Date Night",2010
"192","The Others",2001
"193","Panic Room",2002
"194","Zero Dark Thirty",2012
"195","Unbreakable",2000
"196","The Book of Eli",2010
"197","The Mask of Zorro",1998
"198","Flight",2012
"199","Red Dragon",2002
"200","The Town",2010
"201","Non-Stop",2014
"202","The Client",1994
"203","Blade Runner 2049",2017
"204","John Wick: Chapter 2",2017
"205","Star Trek: First Contact",1996
"206","The Haunting",1999
"207","Crimson Tide",1995
"208","The Imitation Game",2014
"209","The Scorpion King",2002
"210","Space Cowboys",2000
"211","RED",2010
"212","Mystic River",2003
"213","Flightplan",2005
"214","Taken 3",2014
"215","Don't Breathe",2016
"216","The Trial of Billy Jack",1974
"217","Inside Man",2006
"218","The Hand That Rocks the Cradle",1992
"219","Entrapment",1999
"220","Miss Peregrine's Home for Peculiar Children",2016
"221","Presumed Innocent",1990
