"","titles","years"
"76","Horton Hears a Who!",2008
"77","Trolls",2016
"78","Cars 3",2017
"79","Puss in Boots",2011
"80","Megamind",2010
"81","Hotel Transylvania",2012
"82","Lilo & Stitch",2002
"83","One Hundred and One Dalmatians",1961
"84","Rio",2011
"85","Kung Fu Panda 3",2016
"86","The Jungle Book",1967
"87","Pocahontas",1995
"88","A Christmas Carol",2009
"89","Dinosaur",2000
"90","Chicken Little",2005
"91","Alvin and the Chipmunks: Chipwrecked",2011
"92","Rio 2",2014
"93","The Peanuts Movie",2015
"94","Robots",2005
"95","Enchanted",2007
"96","Bee Movie",2007
"97","Cloudy with a Chance of Meatballs",2009
"98","Rango",2011
"99","The Good Dinosaur",2015
"100","Mulan",1998
"101","Cloudy with a Chance of Meatballs 2",2013
"102","G-Force",2009
"103","Bolt",2008
"104","The Little Mermaid",1989
"105","Mr. Peabody & Sherman",2014
"106","Hop",2011
"107","Epic",2013
"108","Angry Birds",2016
"109","Chicken Run",2000
"110","The Lego Movie 2: The Second Part",2019
"111","The Princess and the Frog",2009
"112","Rise of the Guardians",2012
"113","Bambi",1942
"114","The Prince of Egypt",1998
"115","The Rugrats Movie",1998
"116","Yogi Bear",2010
"117","The Hunchback of Notre Dame",1996
"118","Gnomeo & Juliet",2011
"119","Hercules",1997
"120","Meet the Robinsons",2007
"121","Sausage Party",2016
"122","Lady and the Tramp",1955
"123","Antz",1998
"124","Space Jam",1996
"125","Planes",2013
"126","The Emperor's New Groove",2000
"127","Peter Pan",1953
"128","The Emoji Movie",2017
"129","Alvin and the Chipmunks: The Road Chip",2015
"130","Pokémon: The First Movie - Mewtwo Strikes Back",1998
"131","The SpongeBob SquarePants Movie",2004
"132","Brother Bear",2003
"133","Open Season",2006
"134","Cinderella",1950
"135","Ferdinand",2017
"136","Pinocchio",1940
"137","Atlantis: The Lost Empire",2001
"138","Penguins of Madagascar",2014
"139","Smallfoot",2018
"140","Turbo",2013
"141","Beowulf",2007
"142","Jimmy Neutron: Boy Genius",2001
"143","The Adventures of Tintin",2011
"144","Rugrats in Paris: The Movie",2000
"145","Fantasia",1940
"146","Garfield",2004
"147","Coraline",2009
"148","The Nightmare Before Christmas",1993
"149","Oliver & Company",1988
"150","Captain Underpants: The First Epic Movie",2017
"151","Monster House",2006
"152","Spirit: Stallion of the Cimarron",2002
"153","Barnyard",2006
"154","Storks",2016
"155","The Rescuers",1977
"156","The Smurfs 2",2013
"157","Stuart Little 2",2002
"158","Flushed Away",2006
"159","The Nut Job",2014
"160","Ice Age: Collision Course",2016
"161","Happy Feet Two",2011
"162","Song of the South",1946
"163","The Fox and the Hound",1981
"164","Beavis and Butt-Head Do America",1996
"165","Fantasia 2000",1999
"166","The Lego Ninjago Movie",2017
"167","Planes: Fire & Rescue",2014
"168","Surf's Up",2007
"169","Curious George",2006
"170","Anastasia",1997
"171","Escape from Planet Earth",2013
"172","Wallace & Gromit: The Curse of the Were-Rabbit",2005
"173","ParaNorman",2012
"174","Free Birds",2013
"175","Legend of the Guardians: The Owls of Ga'Hoole",2010
"176","TMNT",2007
"177","Corpse Bride",2005
"178","South Park: Bigger, Longer & Uncut",1999
"179","Sleeping Beauty",1959
"180","Hoodwinked!",2005
"181","The Tale of Despereaux",2008
"182","The Road to El Dorado",2000
"183","The Boxtrolls",2014
"184","The Book of Life",2014
"185","Home on the Range",2004
"186","Peter Pan 2: Return to Never Land",2002
"187","Fat Albert",2004
"188","The Land Before Time",1988
"189","Kubo and the Two Strings",2016
"190","The Jungle Book 2",2003
"191","An American Tail",1986
"192","Arthur Christmas",2011
"193","The Tigger Movie",2000
"194","Wonder Park",2019
"195","Smurfs: The Lost Village",2017
"196","Pokémon the Movie 2000",1999
"197","Sherlock Gnomes",2018
"198","Planet 51",2009
"199","The Star",2017
"200","The Wild Thornberrys Movie",2002
"201","Pete's Dragon",1977
"202","Rugrats Go Wild",2003
"203","The Great Mouse Detective",1986
"204","The Angry Birds Movie 2",2019
"205","Treasure Planet",2002
"206","The AristoCats",1970
"207","The Wild",2006
