"","titles","years"
"485","Deep Rising",1998
"486","Dead Awake",2016
"487","Hell Fest",2018
"488","Hellbound: Hellraiser II",1988
"489","Sleepaway Camp",1983
"490","Dragon Wars: D-War",2007
"491","Pride and Prejudice and Zombies",2016
"492","Dracula: Dead and Loving It",1995
"493","The Darkness",2016
"494","Wolfen",1981
"495","Primeval",2007
"496","Silent Rage",1982
"497","The Witches",1990
"498","Pandorum",2009
"499","Whiteout",2009
"500","House of the Dead",2003
"501","Flesh for Frankenstein",1973
"502","The Belko Experiment",2016
"503","Bats",1999
"504","Class Reunion",1982
"505","Cry Wolf",2005
"506","Terror in the Aisles",1984
"507","In Hiding a Bigfoot Story",2017
"508","Once Bitten",1985
"509","The Swarm",1978
"510","King Kong",1933
"511","Bad Dreams",1988
"512","The Hidden",1987
"513","The Dark Half",1993
"514","Village of the Damned",1995
"515","Return of the Living Dead II",1988
"516","Body Parts",1991
"517","Dead Ringers",1988
"518","Warlock",1989
"519","Meet the Blacks",2016
"520","Deadly Friend",1986
"521","In the Mouth of Madness",1994
"522","Nightbreed",1990
"523","Unfriended: Dark Web",2018
"524","Suspect Zero",2004
"525","The Stepford Wives",1975
"526","The Puppet Masters",1994
"527","Manhunter",1986
"528","Leprechaun",1993
"529","Homecoming",2009
"530","The Quiet Ones",2014
"531","Ghosts of Mars",2001
"532","The Awakening",1980
"533","Dr. Giggles",1992
"534","Shadow of the Vampire",2000
"535","Deadly Blessing",1981
"536","The Blob",1988
"537","DeepStar Six",1989
"538","A Cure for Wellness",2016
"539","The Texas Chainsaw Massacre 2",1986
"540","The Island of Dr. Moreau",1977
"541","The Funhouse",1981
"542","Dead Calm",1989
"543","House II: The Second Story",1987
"544","Vampire Academy",2014
"545","Slither",2006
"546","The Return",2006
"547","The Beast Within",1982
"548","Unsane",2018
"549","The Collector",2009
"550","The Order",2003
"551","Maximum Overdrive",1986
"552","Witchboard",1986
"553","Bones",2001
"554","The Forsaken",2001
"555","Phantasm II",1988
"556","Transylvania 6-5000",1985
"557","The Green Inferno",2013
"558","The Orphanage",2007
"559","Turistas",2006
"560","Parasite",1982
"561","Cat People",1982
"562","Eraserhead",1977
"563","Children of the Corn II: The Final Sacrifice",1992
"564","Willard",2003
"565","Trick or Treat",1986
"566","Nightmares",1983
"567","The Dead Don't Die",2019
"568","Motel Hell",1980
"569","The Unholy",1988
"570","Amityville 3-D",1983
"571","Piranha",1978
"572","The Hunger",1983
"573","Captive State",2019
"574","Evil Dead II",1987
"575","Night of the Living Dead",1990
"576","Day of the Dead",1985
"577","Screamers",1995
"578","Victor Frankenstein",2015
"579","Leatherface: Texas Chainsaw Massacre III",1990
"580","My Bloody Valentine",1981
"581","Phantoms",1998
"582","Mary Reilly",1996
"583","Elvira: Mistress of the Dark",1988
"584","Bordello of Blood",1996
"585","Troll",1986
"586","Split Second",1992
"587","Silver Bullet",1985
"588","Monkey Shines",1988
"589","Venom",1981
"590","Alone in the Dark",2005
"591","Student Bodies",1981
"592","Dawn of the Dead",1978
"593","Ghost in the Machine",1993
"594","The Watcher in the Woods",1980
"595","The Beast from 20,000 Fathoms",1953
"596","Club Dread",2004
"597","Innocent Blood",1992
"598","Vamp",1986
"599","The Apparition",2012
"600","Invaders from Mars",1986
"601","Abbott and Costello Meet Frankenstein",1948
"602","Incarnate",2016
"603","Creature",1985
"604","Don't Let Go",2019
"605","C.H.U.D.",1984
"606","In the Name of the King: A Dungeon Siege Tale",2007
"607","The Boogey Man",1980
"608","Mindhunters",2004
"609","The Company of Wolves",1984
"610","Pumpkinhead",1988
"611","Pit and the Pendulum",1961
"612","Bride of Frankenstein",1935
"613","I Come in Peace",1990
"614","Lisa",1990
"615","Mortuary",1983
"616","The Omen",1976
"617","Brainscan",1994
"618","Popcorn",1991
"619","Twin Peaks: Fire Walk with Me",1992
"620","Godzilla 1985",1985
"621","Black Christmas",1974
"622","What Ever Happened to Baby Jane?",1962
"623","Idle Hands",1999
"624","Ingagi",1930
"625","Blood Feast",1963
"626","Cat People",1942
"627","P2",2007
"628","The Phantom of the Opera",1989
"629","My Demon Lover",1987
"630","Morgan",2016
"631","Warlock: The Armageddon",1993
"632","Damien: Omen II",1978
"633","Critters 2",1988
"634","The Monster Squad",1987
"635","Friend Request",2016
"636","The Keep",1983
"637","The Phantom of the Opera",1925
"638","High Tension",2003
"639","Scouts Guide to the Zombie Apocalypse",2015
"640","Bug",1975
"641","The Bride",1985
"642","Phoenix Forgotten",2017
"643","Dead Heat",1988
"644","Blood and Chocolate",2007
"645","The Wraith",1986
"646","Phantom of the Opera",1943
"647","Bad Samaritan",2018
"648","Near Dark",1987
"649","My Boyfriend's Back",1993
"650","What We Do in the Shadows",2014
