"","titles","years"
"1821","Judy Moody and the Not Bummer Summer",2011
"1822","The Next Best Thing",2000
"1823","The Music Man",1962
"1824","The Meaning of Life",1983
"1825","The Commitments",1991
"1826","Indian Summer",1993
"1827","Keeping Up with the Joneses",2016
"1828","Flirting with Disaster",1996
"1829","Election",1999
"1830","S.O.B.",1981
"1831","Once Around",1991
"1832","Nashville",1975
"1833","Threesome",1994
"1834","All I Want for Christmas",1991
"1835","Ladybugs",1992
"1836","I Love You, Beth Cooper",2009
"1837","Radio Days",1987
"1838","Still Smokin",1983
"1839","The Sixth Man",1997
"1840","Criminal",2004
"1841","Arthur 2: On the Rocks",1988
"1842","The Nude Bomb",1980
"1843","Educating Rita",1983
"1844","Clue",1985
"1845","That Touch of Mink",1962
"1846","The Girl Next Door",2004
"1847","Wild at Heart",1990
"1848","School Daze",1988
"1849","Everyone's Hero",2006
"1850","Oh, God! Book II",1980
"1851","Welcome to Mooseport",2004
"1852","Life or Something Like It",2002
"1853","Hello, My Name Is Doris",2015
"1854","American Ultra",2015
"1855","Night of the Comet",1984
"1856","Ishtar",1987
"1857","Memoirs of an Invisible Man",1992
"1858","Un tè con Mussolini",1999
"1859","Excess Baggage",1997
"1860","The Wizard",1989
"1861","The Edge of Seventeen",2016
"1862","The Ice Pirates",1984
"1863","Josie and the Pussycats",2001
"1864","Freddy Got Fingered",2001
"1865","The Return of the Living Dead",1985
"1866","Alex & Emma",2003
"1867","Sweet Liberty",1986
"1868","Disaster Movie",2008
"1869","The Wonderful World of the Brothers Grimm",1962
"1870","Come September",1961
"1871","Wholly Moses!",1980
"1872","Ernest Scared Stupid",1991
"1873","Tank",1984
"1874","Cool World",1992
"1875","How to Deal",2003
"1876","Tomboy",1985
"1877","Diner",1982
"1878","Private School",1983
"1879","New York Minute",2004
"1880","Love & Friendship",2016
"1881","What's Your Number?",2011
"1882","Creepshow 2",1987
"1883","The Survivors",1983
"1884","The Bad News Bears Go to Japan",1978
"1885","On a Clear Day You Can See Forever",1970
"1886","Hatari!",1962
"1887","Alice's Restaurant",1969
"1888","The Sterile Cuckoo",1969
"1889","Blues Brothers 2000",1998
"1890","Stealing Harvard",2002
"1891","How to Be a Player",1997
"1892","Soul Plane",2004
"1893","Firehouse Dog",2007
"1894","Hot Rod",2007
"1895","Out Cold",2001
"1896","Monsoon Wedding",2001
"1897","My Stepmother Is an Alien",1988
"1898","The Milagro Beanfield War",1988
"1899","The Man Who Knew Too Little",1997
"1900","A Hard Day's Night",1964
"1901","Hit and Run",2012
"1902","Broken Flowers",2005
"1903","The Tailor of Panama",2001
"1904","Hey Arnold! The Movie",2002
"1905","The Pagemaster",1994
"1906","Vice Versa",1988
"1907","Burnt",2015
"1908","Crooklyn",1994
"1909","Poms",2019
"1910","Osmosis Jones",2001
"1911","The Ladies Man",2000
"1912","Juwanna Mann",2002
"1913","Tomcats",2001
"1914","The Little Vampire",2000
"1915","Trial and Error",1997
"1916","Shaun of the Dead",2004
"1917","Eighth Grade",2018
"1918","Doctor Dolittle",1967
"1919","The Ugly Dachshund",1966
"1920","The Stewardesses",1969
"1921","Charade",1963
"1922","One Crazy Summer",1986
"1923","Secrets & Lies",1996
"1924","A Kid in King Arthur's Court",1995
"1925","Alfie",2004
"1926","Bullets Over Broadway",1994
"1927","Friends with Money",2006
"1928","Mr. Saturday Night",1992
"1929","The Comebacks",2007
"1930","What a Way to Go!",1964
"1931","The Pick-up Artist",1987
"1932","Sugar & Spice",2001
"1933","Class Act",1992
"1934","Crazy People",1990
"1935","Inside Llewyn Davis",2013
"1936","Daddy Day Camp",2007
"1937","Ghost Town",2008
"1938","The Intouchables",2011
"1939","Critters",1986
"1940","The Unsinkable Molly Brown",1964
"1941","Greedy",1994
"1942","Bye Bye Birdie",1963
"1943","The Peanut Butter Falcon",2019
"1944","Dr. T & the Women",2000
"1945","Author! Author!",1982
"1946","Back to the Beach",1987
"1947","Playing for Keeps",2012
"1948","The Rum Diary",2011
"1949","Cat's Eye",1985
"1950","A Boy Named Charlie Brown",1969
"1951","Help!",1965
"1952","Senseless",1998
"1953","To Be or Not to Be",1983
"1954","I'm Gonna Git You Sucka",1988
"1955","How to Eat Fried Worms",2006
"1956","The Crew",2000
"1957","Gypsy",1962
"1958","Real Genius",1985
"1959","Stroker Ace",1983
"1960","High Society",1956
"1961","Guys and Dolls",1955
"1962","Religulous",2008
"1963","Man's Best Friend",1993
"1964","Living Out Loud",1998
"1965","Volver",2006
"1966","The Honeymooners",2005
"1967","Mystic Pizza",1988
"1968","I Heart Huckabees",2004
"1969","The Associate",1996
"1970","The Evening Star",1996
"1971","Weekend at Bernie's II",1993
