"","titles","years"
"86","Kevin Hart: Laugh at My Pain",2011
"87","Penguins",2019
"88","Expelled: No Intelligence Allowed",2008
"89","Journey to the South Pacific",2013
"90","Bébé(s)",2010
"91","I Am Not Your Negro",2016
"92","Buena Vista Social Club",1999
"93","Roger & Me",1989
"94","That's Entertainment, Part II",1976
"95","Waiting for 'Superman'",2010
"96","The Aristocrats",2005
"97","Fahrenheit 11/9",2018
"98","Death of a Nation",2018
"99","Meet the Mormons",2014
"100","Spellbound",2002
"101","Flying Monsters 3D with David Attenborough",2011
"102","Shine a Light",2008
"103","Cave of Forgotten Dreams",2010
"104","Siegfried & Roy: The Magic Box",1999
"105","Stop Making Sense",1984
"106","Twenty Feet from Stardom",2013
"107","Bring The Soul: The Movie",2019
"108","Pavarotti",2019
"109","Touching the Void",2003
"110","Amazing Grace",2018
"111","Food, Inc.",2008
"112","The Biggest Little Farm",2018
"113","Inside Job",2010
"114","That's Dancing!",1985
"115","The Fog of War: Eleven Lessons from the Life of Robert S. McNamara",2003
"116","Ultimate X: The Movie",2002
"117","Good Hair",2009
"118","Bully",2011
"119","Buck",2011
"120","Searching for Sugar Man",2012
"121","Young@Heart",2007
"122","Let's Spend the Night Together",1982
"123","The September Issue",2009
"124","Where to Invade Next",2015
"125","Paris Is Burning",1990
"126","Imagine: John Lennon",1988
"127","The Real Cancun",2003
"128","Step Into Liquid",2003
"129","Burn the Stage: The Movie",2018
"130","The Oscar Nominated Short Films 2019: Documentary",2019
"131","Pina",2011
"132","BTS World Tour: Love Yourself in Seoul",2018
"133","An Inconvenient Sequel: Truth to Power",2017
"134","Born Into Brothels: Calcutta's Red Light Kids",2004
"135","Nitro Circus: The Movie",2012
"136","Echo in the Canyon",2018
"137","Fifty",1999
"138","Exit Through the Gift Shop",2010
"139","Rize",2005
"140","Catfish",2010
"141","Ride",2000
"142","Crumb",1994
"143","Grizzly Man",2005
"144","The Eagle Huntress",2016
"145","Capturing the Friedmans",2003
"146","Wordplay",2006
"147","The Wild Parrots of Telegraph Hill",2003
"148","Whitney",2018
"149","Maiden",2018
"150","Sign 'o' the Times",1987
"151","Man on Wire",2008
"152","The Beatles: Eight Days a Week - The Touring Years",2016
"153","Joan Rivers: A Piece of Work",2010
"154","Pandas",2018
"155","Unzipped",1995
"156","Kedi",2016
"157","The Fluffy Movie: Unity Through Laughter",2014
"158","Citizenfour",2014
"159","Freeriders",1998
"160","My Architect",2003
"161","Comedian",2002
"162","The Show",1995
"163","Is Genesis History?",2017
"164","Samsara",2011
"165","When We Were Kings",1996
"166","He Named Me Malala",2015
"167","Control Room",2004
"168","It Came from Hollywood",1982
"169","Jiro Dreams of Sushi",2011
"170","The Endurance",2000
"171","The Gatekeepers",2012
"172","The Queen of Versailles",2012
"173","Hillsong: Let Hope Rise",2016
"174","Meru",2015
"175","WARx2",2014
"176","Snowriders II",1997
"177","Waltz with Bashir",2008
"178","Mark Twain's America in 3D",1998
"179","A Brief History of Time",1991
"180","Riding Giants",2004
"181","DysFunktional Family",2003
"182","The Endless Summer 2",1994
"183","Blackfish",2013
"184","Beyond the Mat",1999
"185","Snowriders",1996
"186","Bring on the Night",1985
"187","The Corporation",2003
"188","Neil Young: Heart of Gold",2006
"189","Pope Francis: A Man of His Word",2018
"190","NSync: Bigger Than Live",2001
"191","Valentino: The Last Emperor",2008
"192","Every Little Step",2008
"193","Koyaanisqatsi",1982
"194","Jane",2017
"195","The Life and Times of Hank Greenberg",1998
"196","Meet the Patels",2014
"197","Who Killed the Electric Car?",2006
"198","Tim's Vermeer",2013
"199","Senna",2010
"200","Weiner",2016
"201","It Might Get Loud",2008
"202","Standing in the Shadows of Motown",2002
"203","Stories We Tell",2012
"204","Rhyme & Reason",1997
"205","Microcosmos",1996
"206","I Am",2010
"207","Fed Up",2014
"208","Murderball",2005
"209","Finding Vivian Maier",2013
"210","Bill Cunningham New York",2010
"211","The Celluloid Closet",1995
"212","How to Make Money Selling Drugs",2012
"213","Genesis: Paradise Lost",2017
"214","Why We Fight",2005
"215","The Kid Stays in the Picture",2002
"216","No End in Sight",2007
"217","Born to Ski",1991
"218","Marley",2012
"219","X Games 3D: The Movie",2009
"220","AC/DC: Let There Be Rock",1980
"221","Looking for Richard",1996
"222","The Salt of the Earth",2014
"223","Baraka",1992
"224","Restrepo",2010
"225","Chasing Ice",2012
"226","Sarah Silverman: Jesus Is Magic",2005
"227","Hearts of Darkness: A Filmmaker's Apocalypse",1991
