"","titles","years"
"100","Camelot",1967
"101","White Christmas",1954
"102","Teen Titans GO! to the Movies",2018
"103","Rent",2005
"104","James and the Giant Peach",1996
"105","The Muppet Christmas Carol",1992
"106","All Dogs Go to Heaven",1989
"107","That's Entertainment!",1974
"108","Winnie the Pooh",2011
"109","Jonah: A VeggieTales Movie",2002
"110","The Muppets Take Manhattan",1984
"111","Jesus Christ Superstar",1973
"112","Across the Universe",2007
"113","Nine",2009
"114","Eight Crazy Nights",2002
"115","Piglet's Big Movie",2003
"116","The Care Bears Movie",1985
"117","Xanadu",1980
"118","Quest for Camelot",1998
"119","Fame",2009
"120","Pink Floyd: The Wall",1982
"121","The Sword in the Stone",1963
"122","An American Tail: Fievel Goes West",1991
"123","Victor Victoria",1982
"124","My Little Pony: The Movie",2017
"125","The King and I",1956
"126","The Wiz",1978
"127","This Is the Army",1943
"128","Sgt. Pepper's Lonely Hearts Club Band",1978
"129","A Prairie Home Companion",2006
"130","UglyDolls",2019
"131","Pague Um & Leve Todos",2009
"132","The Producers",2005
"133","Kazaam",1996
"134","Bedknobs and Broomsticks",1971
"135","Pooh's Heffalump Movie",2005
"136","The Country Bears",2002
"137","Oliver!",1968
"138","New York, New York",1977
"139","Hair",1979
"140","Grease 2",1982
"141","Breakin' 2: Electric Boogaloo",1984
"142","The Adventures of Pinocchio",1996
"143","The Music Man",1962
"144","A Star Is Born",1954
"145","The Meaning of Life",1983
"146","School Daze",1988
"147","A Chorus Line",1985
"148","The Wonderful World of the Brothers Grimm",1962
"149","On a Clear Day You Can See Forever",1970
"150","Blues Brothers 2000",1998
"151","A Hard Day's Night",1964
"152","Doctor Dolittle",1967
"153","De-Lovely",2004
"154","The Unsinkable Molly Brown",1964
"155","Bye Bye Birdie",1963
"156","Back to the Beach",1987
"157","A Boy Named Charlie Brown",1969
"158","Help!",1965
"159","Gypsy",1962
"160","High Society",1956
"161","Guys and Dolls",1955
"162","Labyrinth",1986
"163","The Pirates Who Don't Do Anything: A VeggieTales Movie",2008
"164","Idlewild",2006
"165","Strange Magic",2015
"166","Gentlemen Prefer Blondes",1953
"167","The King and I",1999
"168","Yankee Doodle Dandy",1942
"169","The Adventures of Elmo in Grouchland",1999
"170","Finian's Rainbow",1968
"171","Thumbelina",1994
"172","La flûte à six schtroumpfs",1976
"173","Jetsons: The Movie",1990
"174","Flower Drum Song",1961
"175","The Singing Fool",1928
"176","Blue Hawaii",1961
"177","Raise Your Voice",2004
"178","Babes in Toyland",1960
"179","Robin and the 7 Hoods",1964
"180","The Swan Princess",1994
"181","Everyone Says I Love You",1996
"182","Pepe",1960
"183","Week-End at the Waldorf",1945
"184","Artists and Models",1955
"185","Pennies from Heaven",1981
"186","Star!",1968
"187","Sweet Dreams",1985
"188","Easter Parade",1948
"189","Singin' in the Rain",1952
"190","Care Bears Movie II: A New Generation",1986
"191","Daytona Beach Weekend",1965
"192","Legends of Oz: Dorothy's Return",2014
"193","Bébé's Kids",1992
"194","Tenacious D in the Pick of Destiny",2006
"195","Lost Horizon",1973
"196","Cry-Baby",1990
"197","Holiday Inn",1942
"198","Annie Get Your Gun",1950
"199","Ziegfeld Follies",1945
"200","The Jazz Singer",1927
"201","Meet Me in St. Louis",1944
"202","Tickle Me",1965
"203","Sarafina!",1992
"204","Hello, Dolly!",1969
"205","Gulliver's Travels",1939
"206","Girl Happy",1965
"207","Black Nativity",2013
"208","The Chipmunk Adventure",1987
"209","Till the Clouds Roll By",1946
"210","Hairspray",1988
