"","titles","years"
"86","The Killing Fields",1984
"87","Alexander",2004
"88","Flags of Our Fathers",2006
"89","Coming Home",1978
"90","The Pianist",2002
"91","The Men Who Stare at Goats",2009
"92","1941",1979
"93","Air America",1990
"94","Uncommon Valor",1983
"95","From Here to Eternity",1953
"96","Underworld: Blood Wars",2016
"97","Spartacus",1960
"98","Tora! Tora! Tora!",1970
"99","The Guns of Navarone",1961
"100","In the Army Now",1994
"101","Defiance",2008
"102","Brothers",2009
"103","High Road to China",1983
"104","Doom",2005
"105","Hannibal Rising",2007
"106","Memphis Belle",1990
"107","Glory",1989
"108","El Cid",1961
"109","Captain Corelli's Mandolin",2001
"110","Catch-22",1970
"111","Operation Dumbo Drop",1995
"112","Dead Presidents",1995
"113","Iron Eagle",1986
"114","Some Kind of Hero",1982
"115","The Best Years of Our Lives",1946
"116","Hotel Rwanda",2004
"117","Operation Petticoat",1959
"118","Whiskey Tango Foxtrot",2016
"119","Missing in Action",1984
"120","The Alamo",2004
"121","Empire of the Sun",1987
"122","A Soldier's Story",1984
"123","The Caine Mutiny",1954
"124","Shining Through",1992
"125","The Green Berets",1968
"126","Overlord",2018
"127","The Russians Are Coming the Russians Are Coming",1966
"128","The Book Thief",2013
"129","Mister Roberts",1955
"130","This Is the Army",1943
"131","Free State of Jones",2016
"132","The Eagle",2011
"133","Timeline",2003
"134","Valiant",2005
"135","Best Defense",1984
"136","Hart's War",2002
"137","Sniper",1993
"138","Exodus",1960
"139","Eye in the Sky",2015
"140","Casualties of War",1989
"141","The Four Feathers",2002
"142","The Snows of Kilimanjaro",1952
"143","They Shall Not Grow Old",2018
"144","For Whom the Bell Tolls",1943
"145","The Delta Force",1986
"146","Operation Finale",2018
"147","Eye of the Needle",1981
"148","The Zookeeper's Wife",2017
"149","Battle Cry",1955
"150","The Alamo",1960
"151","Von Ryan's Express",1965
"152","The Hurt Locker",2008
"153","Sergeant York",1941
"154","Elizabeth: The Golden Age",2007
"155","Hair",1979
"156","More American Graffiti",1979
"157","Lions for Lambs",2007
"158","Tristan & Isolde",2006
"159","Flight of the Intruder",1991
"160","In Love and War",1996
"161","Un tè con Mussolini",1999
"162","The Messenger: The Story of Joan of Arc",1999
"163","Hamburger Hill",1987
"164","Letters from Iwo Jima",2006
"165","Mrs. Miniver",1942
"166","Megan Leavey",2017
"167","Flyboys",2006
"168","Religulous",2008
"169","The Quiet American",2002
"170","Gods and Generals",2003
"171","Father Goose",1964
"172","War and Peace",1956
"173","Monsignor",1982
"174","Solomon and Sheba",1959
"175","The Great Escape",1963
"176","Padmaavat",2018
"177","Two Mules for Sister Sara",1970
"178","Das Boot",1981
"179","Battle of the Bulge",1965
"180","Michael Collins",1996
"181","Mrs Henderson Presents",2005
"182","A Farewell to Arms",1957
"183","The Big Parade",1925
"184","Stop-Loss",2008
"185","The Man in the Gray Flannel Suit",1956
"186","Victory",1981
"187","Missing in Action 2: The Beginning",1985
"188","Gettysburg",1993
"189","Primeval",2007
"190","Iron Eagle II",1988
"191","Battleground",1949
"192","The Year of Living Dangerously",1982
"193","Pathfinder",2007
"194","The Great Raid",2005
"195","Henry V",1989
"196","The Birth of a Nation",1915
"197","The Young Lions",1958
"198","Thank You for Your Service",2017
"199","Rio Lobo",1970
"200","Havana",1990
"201","The Four Horsemen of the Apocalypse",1921
"202","A Mighty Heart",2007
"203","The Boy in the Striped Pajamas",2008
"204","The Pride and the Passion",1957
"205","Black Robe",1991
"206","Miracle at St. Anna",2008
"207","Elle s'appelait Sarah",2010
"208","Cavalcade",1933
"209","The Train",1964
"210","Off Limits",1988
"211","Breaker Morant",1980
"212","Golden Earrings",1947
"213","Helen of Troy",1956
"214","Incendies",2010
"215","Swing Shift",1984
"216","The Grandmaster",2013
"217","Wings",1927
"218","Bajirao Mastani",2015
"219","The Razor's Edge",1984
"220","Khartoum",1966
"221","Sink the Bismarck!",1960
"222","Little Boy",2015
"223","Braddock: Missing in Action III",1988
"224","A Very Long Engagement",2004
"225","The Walking Dead",1995
"226","1969",1988
"227","The Last Legion",2007
"228","Heaven & Earth",1993
"229","Indochine",1992
"230","Gallipoli",1981
"231","Mongol: The Rise of Genghis Khan",2007
"232","Under Fire",1983
"233","For Greater Glory: The True Story of Cristiada",2012
"234","Europa Europa",1990
"235","Kundun",1997
"236","Downfall",2004
"237","Rescue Dawn",2006
"238","The Counterfeiters",2007
"239","Gardens of Stone",1987
"240","The Wind Rises",2013
"241","Inchon",1981
"242","Sunshine",1999
"243","The Diary of Anne Frank",1959
"244","Brass Target",1978
"245","Jakob the Liar",1999
"246","King David",1985
"247","The Fall of the Roman Empire",1964
"248","Young Winston",1972
"249","Lust, Caution",2007
"250","Au Revoir les Enfants",1987
"251","Tolkien",2019
"252","In the Name of the King: A Dungeon Siege Tale",2007
"253","Mediterraneo",1991
"254","The Conqueror",1956
"255","Talk to Me",2007
"256","Persepolis",2007
"257","The Railway Man",2013
"258","Beyond Borders",2003
"259","Black Book",2006
"260","For Me and My Gal",1942
"261","Battle of Britain",1969
"262","Enigma",2001
"263","China Cry: A True Story",1990
"264","In Harm's Way",1965
"265","The Fog of War: Eleven Lessons from the Life of Robert S. McNamara",2003
"266","The Water Diviner",2014
"267","Uri: The Surgical Strike",2019
"268","Pork Chop Hill",1959
"269","Taras Bulba",1962
"270","Buck Privates",1941
"271","Bat*21",1988
"272","Yanks",1979
"273","Their Finest",2016
"274","Fat Man and Little Boy",1989
"275","In Country",1989
"276","Indivisible",2018
"277","Foreign Correspondent",1940
"278","Jodhaa Akbar",2008
"279","Malena",2000
"280","Emperor",2012
"281","Last Ounce of Courage",2012
"282","Closely Watched Trains",1966
"283","Tarzan Triumphs",1943
"284","Flying Tigers",1942
"285","All Quiet on the Western Front",1930
"286","Tomorrow Is Forever",1946
"287","Sgt. Stubby: An American Hero",2018
"288","Waterloo",1970
"289","Hanover Street",1979
"290","Rock the Kasbah",2015
"291","Anthropoid",2016
"292","Map of the Human Heart",1992
"293","Wolf Warrior 2",2017
"294","Villa Rides",1968
"295","Burnt by the Sun",1994
"296","Richard III",1995
"297","Darling Lili",1970
"298","The Admiral",2014
"299","The Secret of Santa Vittoria",1969
"300","Behind Enemy Lines",1986
"301","Farewell to the King",1989
"302","The Gatekeepers",2012
"303","Bon voyage",2003
"304","To Live",1994
"305","Merry Christmas Mr. Lawrence",1983
"306","Gukjesijang",2014
"307","To the Shores of Tripoli",1942
"308","Sky Bandits",1986
"309","Waltz with Bashir",2008
"310","The Nasty Girl",1990
"311","To Live in Peace",1947
"312","King Richard and the Crusaders",1954
"313","Purple Hearts",1984
"314","Betrayed",1954
"315","Paradise Road",1997
"316","The Four Horsemen of the Apocalypse",1962
"317","Youth",2017
"318","The Horseman on the Roof",1995
"319","Harrison's Flowers",2000
"320","The Wind that Shakes the Barley",2006
"321","Testament of Youth",2014
"322","The Wall",2017
"323","Saul fia",2015
"324","Paratrooper",1953
"325","Che: Part One",2008
"326","Billy Lynn's Long Halftime Walk",2016
"327","The Attack",2012
"328","Beau Geste",1926
"329","The White Countess",2005
"330","A Private War",2018
"331","The Aftermath",2019
"332","Ararat",2002
"333","Bless Me, Ultima",2012
"334","Operation Red Sea",2018
"335","A Midnight Clear",1992
"336","Men of the Fighting Lady",1954
"337","Birdy",1984
"338","Paradise Now",2005
"339","Why We Fight",2005
"340","No End in Sight",2007
"341","Beachhead",1954
"342","War Arrow",1953
"343","Arch of Triumph",1948
"344","Courage Mountain",1990
"345","Kelly's Heroes",1970
"346","Noah's Ark",1928
"347","Platoon Leader",1988
"348","Restrepo",2010
"349","Joan the Woman",1916
"350","Musíme si pomáhat",2000
"351","Romero",1989
"352","Saints and Soldiers",2003
"353","Anne Frank Remembered",1995
"354","The Good German",2006
"355","Commandos Strike at Dawn",1942
"356","Churchill",2017
"357","'71",2014
"358","The Better 'Ole",1926
"359","A Time of Destiny",1988
"360","The Last Time I Saw Archie",1961
"361","Invasion, U.S.A.",1952
"362","The Story of Vernon and Irene Castle",1939
"363","Tae Guk Gi: The Brotherhood of War",2004
"364","Macbeth",2015
"365","Paper Clips",2004
"366","Timbuktu",2014
"367","There Be Dragons",2011
"368","No Man's Land",2001
"369","Joyeux Noel",2005
"370","In Darkness",2011
"371","The Children of Huang Shi",2008
"372","Casablanca",1942
"373","Battle for Incheon: Operation Chromite",2016
"374","Stalingrad",2013
"375","March or Die",1977
"376","Drums Along the Mohawk",1939
"377","The Hunting Party",2007
"378","Lore",2012
"379","Last Flag Flying",2017
"380","Bright Young Things",2003
"381","Tubelight",2017
"382","Aimee & Jaguar",1999
"383","Frantz",2016
"384","Mangal Pandey: The Rising",2005
"385","Once Upon a Honeymoon",1942
"386","Come See the Paradise",1990
"387","Innocent Voices",2004
"388","Bombshell: The Hedy Lamarr Story",2017
"389","Oh! What a Lovely War",1969
"390","Victory Through Air Power",1943
"391","The Tillman Story",2010
"392","Bloody Sunday",2002
"393","Before the Rain",1994
"394","The Hanoi Hilton",1987
"395","Coriolanus",2011
"396","Lakshya",2004
"397","Army of Shadows",1969
"398","Tell It to the Marines",1926
"399","The Man Who Cried",2000
"400","Colonel Chabert",1994
"401","Rosenstrasse",2003
"402","Mausam",2011
"403","The Accompanist",1992
"404","We're in the Navy Now",1926
"405","Goya in Bordeaux",1999
"406","The Catcher Was a Spy",2018
"407","Ashoka the Great",2001
"408","Zamani barayé masti asbha",2000
"409","What Price Glory",1926
"410","Lumumba",2000
"411","Sophie Scholl: The Final Days",2005
"412","C.S.A.: The Confederate States of America",2004
"413","Alone Yet Not Alone",2013
"414","Charlotte Gray",2001
"415","Prisoner of the Mountains",1996
"416","Into the Sun",1991
"417","Fugitive Pieces",2007
"418","Ride with the Devil",1999
"419","Red Cliff II",2009
"420","Red Cliff",2008
"421","The Damned",1969
"422","A Secret",2007
"423","Mare Nostrum",1926
"424","Obsluhoval jsem anglického krále",2006
"425","Gunner Palace",2004
"426","The Exception",2016
"427","The Garden of the Finzi-Continis",1970
"428","A Tale of Love and Darkness",2015
"429","Etz Limon",2008
"430","The Weather Underground",2002
"431","Bitter Harvest",2017
"432","Stand by for Action",1942
"433","Oorlogswinter",2008
"434","The African Queen",1951
"435","Earth",1998
"436","Cuba",1979
"437","Max",2002
"438","Shadow",2018
"439","The Grey Zone",2001
"440","Code Name: Emerald",1985
"441","Phantom",2013
"442","Les égarés",2003
"443","The Enemy",1927
"444","The Great Battle",2018
"445","Last Days in Vietnam",2014
"446","The Losers",1970
"447","Marcel Proust's Time Regained",1999
"448","Lucie Aubrac",1997
"449","McBain",1991
"450","The Legend of Suriyothai",2001
"451","In Which We Serve",1942
"452","Land of Mine",2015
"453","La vie et rien d'autre",1989
"454","Janice Meredith",1924
"455","The Cold Blue",2018
"456","The Last Days",1998
"457","Seraphim Falls",2006
"458","Triumph of the Spirit",1989
"459","The Invisibles",2017
"460","Which Way to the Front?",1970
"461","Head in the Clouds",2004
"462","Official Secrets",2019
"463","Mother Night",1996
"464","Divine Intervention",2002
"465","The Commissar",1987
"466","Freetown",2015
"467","Voor een verloren soldaat",1992
"468","Brødre",2004
"469","Where in the World Is Osama Bin Laden?",2008
"470","Dirty Wars",2013
"471","The Rough Riders",1927
"472","Rebel in the Rye",2017
"473","Im toten Winkel - Hitlers Sekretärin",2002
"474","Into the Arms of Strangers: Stories of the Kindertransport",2000
"475","Bent",1997
"476","Lebanon",2009
"477","Revolution",1985
"478","Walking with the Enemy",2013
"479","Omar",2013
"480","Buffalo Soldiers",2001
"481","Prisoner of Japan",1942
"482","Jojo Rabbit",2019
"483","Green Street Hooligans",2005
"484","West Beirut",1998
"485","Hôtel Terminus",1988
"486","La princesse de Montpensier",2010
"487","Welcome to Sarajevo",1997
"488","The Lady and the Duke",2001
"489","Zelary",2003
"490","Yeonpyeong haejeon",2015
"491","Days of Glory",2006
"492","Good Kill",2014
"493","The Road to Guantanamo",2006
"494","AmeriGeddon",2016
"495","Too Late the Hero",1970
"496","The Breadwinner",2017
"497","The Hornet's Nest",2014
"498","The Panama Deception",1992
"499","Heaven and Earth",1990
"500","Eleni",1985
"501","In the Land of Blood and Honey",2011
"502","White Material",2009
"503","¡Ay, Carmela!",1990
"504","Kabul Express",2006
"505","Anonyma - Eine Frau in Berlin",2008
"506","Saga of Tanya the Evil - The Movie",2019
"507","Above and Beyond",2014
"508","Every Time We Say Goodbye",1986
"509","Windhorse",1998
"510","The Unknown Known",2013
"511","Taxi to the Dark Side",2007
"512","Amen.",2002
"513","Harvard Beats Yale 29-29",2008
"514","Beautiful People",1999
"515","Dark Blue World",2001
"516","Turtles Can Fly",2004
"517","The War Tapes",2006
"518","The Fortress",2017
"519","War of the Arrows",2011
"520","Beau travail",1999
"521","Kukushka",2002
"522","The General",1926
"523","Diplomacy",2014
"524","Land and Freedom",1995
"525","One Man's Hero",1999
"526","Zhi qu wei hu shan",2014
"527","Standard Operating Procedure",2008
"528","Railroad Tigers",2016
"529","Captain Blood",1924
"530","Iraq in Fragments",2006
"531","The Assault",1986
"532","No Place on Earth",2012
"533","Fateless",2005
"534","Heneral Luna",2015
"535","Taking Sides",2001
"536","Good morning Babilonia",1987
"537","Amigo",2010
"538","The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby",2011
"539","The Lucky Ones",2008
"540","The Guardians",2017
"541","Chicago 10",2007
"542","Grand Illusion",1937
"543","Underground",1995
"544","Cinco de Mayo, La Batalla",2013
"545","Last Plane Out",1983
"546","Bonhoeffer",2003
"547","13 Minutes",2015
"548","The Great Mughal",1960
"549","The Beast of War",1988
"550","Outlander",2008
"551","Nanking",2007
"552","Journey's End",2017
"553","Train of Life",1998
"554","84C MoPic",1989
"555","Music Within",2007
"556","Brothers at War",2009
"557","Two Men Went to War",2002
"558","Syngué sabour, pierre de patience",2012
"559","Corporal Kate",1926
"560","The Land Girls",1998
"561","Flame & Citron",2008
"562","Tangerines",2013
"563","Before the Fall",2004
"564","Only the Brave",2006
"565","Gomgashtei dar Aragh",2002
"566","Deadline",1987
"567","Hanna's War",1988
"568","Tigerland",2000
"569","War and Peace",1966
"570","Appleseed",2004
"571","The Warlords",2007
"572","City of Ghosts",2017
"573","Xin hai ge ming",2011
"574","Tonkô",1988
"575","Chimes at Midnight",1965
"576","Krigen",2015
"577","Centurion",2010
"578","For the Moment",1993
"579","City of Life and Death",2009
"580","Katyn",2007
"581","The Reports on Sarah and Saleem",2018
"582","Sir! No Sir!",2005
"583","The King's Choice",2016
"584","Biggles: Adventures in Time",1986
"585","War Dance",2007
"586","Kippur",2000
"587","Five Broken Cameras",2011
"588","Ignatius of Loyola",2016
"589","The Captain",2017
"590","Running Free",1999
"591","Beaufort",2007
"592","Our Time Will Come",2017
"593","Celsius 41.11: The Temperature at Which the Brain... Begins to Die",2004
"594","The Warrens of Virginia",1915
"595","Chicago Joe and the Showgirl",1990
"596","Beasts of No Nation",2015
"597","Invincible",2001
"598","Frankie Starlight",1995
"599","Shock and Awe",2017
"600","Stalingrad",1993
"601","Nomad: The Warrior",2005
"602","Warriors of the Dawn",2017
"603","Fetih 1453",2012
"604","Bye Bye Germany",2017
"605","Fort McCoy",2011
"606","Der neunte Tag",2004
"607","Dr. Akagi",1998
"608","Body of War",2007
"609","The Truce",1997
"610","Rebelle",2012
"611","Budrus",2009
"612","Where Hands Touch",2018
"613","Mai wei",2011
"614","John Rabe",2009
"615","The Messenger",2009
"616","Paragraph 175",2000
"617","Redacted",2007
"618","Un été inoubliable",1994
"619","A nagy füzet",2013
"620","How I Live Now",2013
"621","House of Fools",2002
"622","The Trials of Muhammad Ali",2013
"623","Voices of Iraq",2004
"624","The Captive",1915
"625","The Battle of Algiers",1966
"626","Korengal",2014
"627","Les hommes libres",2011
"628","Django",2017
"629","Ophelia",2018
"630","Anatahan",1953
"631","Home of the Brave",2006
"632","Ghosts of Cité Soleil",2006
"633","The Situation",2006
"634","1,000 Times Good Night",2013
"635","The Goebbels Experiment",2005
"636","Twenty Two",2015
"637","Léon Morin, Priest",1961
"638","Op-pa saeng-gak",2016
"639","Zaytoun",2012
"640","To vlemma tou Odyssea",1995
"641","Hell and Back Again",2011
"642","The Last Grenade",1970
"643","Granito",2011
"644","The Red Baron",2008
"645","Pavilion of Women",2001
"646","Army of Crime",2009
"647","The Road to Freedom",2010
"648","Sobibór, October 14, 1943, 4 p.m.",2001
"649","The Children of Chabannes",1999
"650","Archangel",1990
"651","En mai, fais ce qu'il te plaît",2015
"652","Uncovered: The War on Iraq",2004
"653","Under the Shadow",2016
"654","Mr. Klein",1976
"655","The Wedding Song",2008
"656","Fighting for Life",2008
"657","The Official Story",1985
"658","The Edge of Love",2008
"659","Hearts and Minds",1974
"660","The Cut",2014
"661","Senso",1954
"662","Safe Conduct",2002
"663","For Sama",2019
"664","Naples '44",2016
"665","Went the Day Well?",1942
"666","Olvidados",2014
"667","Le Petit Soldat",1963
"668","Good",2008
"669","Bangrajan",2000
"670","All the Queen's Men",2001
"671","Regret to Inform",1998
"672","Flandres",2006
"673","The Lost",2006
"674","S21: The Khmer Rouge Killing Machine",2003
"675","Level Five",1997
"676","Safar e Ghandehar",2001
"677","The Ground Truth",2006
"678","Girls of the Sun",2018
"679","Of Love and Shadows",1994
"680","Behind the Lines",1997
"681","Guizi lai le",2000
"682","Clash",2016
"683","King of Hearts",1966
"684","5 Days of War",2011
"685","The Cranes Are Flying",1957
"686","Zi hu die",2003
"687","Shoah",1985
"688","Talk of Angels",1998
"689","Twice Born",2012
"690","Paradise",2016
"691","Major Dundee",1965
"692","Last Men in Aleppo",2017
"693","Golemata voda",2004
"694","Union",2018
"695","The Manzanar Fishing Club",2012
"696","Um Filme Falado",2003
"697","Savior",1998
"698","Of Fathers and Sons",2017
"699","Seven Beauties",1975
"700","Emptying the Skies",2013
"701","In the Fog",2012
"702","Pizzicata",1996
"703","Ugetsu",1953
"704","The Front Line",2011
"705","Forces spéciales",2011
"706","The Empty Mirror",1996
"707","Armadillo",2010
"708","Forbidden Games",1952
"709","Neither Heaven Nor Earth",2015
"710","Camp X-Ray",2014
"711","Private",2004
"712","Jin ling shi san chai",2011
"713","La tigre e la neve",2005
"714","Kedma",2002
"715","Birkebeinerne",2016
"716","Canopy",2013
"717","Korkoro",2009
"718","Furious",2017
"719","Battle for Haditha",2007
"720","In Search of Peace",2001
"721","Massoud, the Afghan",1998
"722","La question humaine",2007
"723","When the Wind Blows",1986
"724","Death Metal Angola",2012
"725","Promised Lands",1974
"726","Genghis Khan",1965
"727","This is Congo",2017
"728","Blackboards",2000
"729","Brothers in Arms",2003
"730","Nana",2016
"731","Joan the Maid 1: The Battles",1994
"732","Chosen",2016
"733","My Führer",2007
"734","Kyatapirâ",2010
"735","Jihadists",2016
"736","Among the Believers",2015
"737","Hyena Road",2015
"738","De tweeling",2002
"739","Into the White",2012
"740","A People Uncounted",2011
"741","The Secret of China",2019
"743","Kisilev's list",2008
"744","Lost in Klessin",2018
"746","Tian Yan Feng Yun",2018
"747","Convoy 48",2019
"748","Beyond the Line",2019
"750","Mirrewinter",2018
"751","Soldatik",2019
"753","2036 Apocalypse Earth",2019
"754","Selvam",2011
"755","Czarny Mercedes",2019
"756","Prathiroo",2012
"757","Kinmontô ni kakeru hashi",1962
"758","Bi hai hong bo",1975
"759","Meteler",2019
"760","Sorôkin no mita sakura",2019
"761","The Bed-Sitting Room",2016
"762","Tobol",2019
"763","Zhongguo zhi nuhou",1965
"764","Una escalera hacia la Luna",2019
"766","Dobugawa gakkyu",1972
"770","23 Nafar",2019
"771","Shchit i mech: Film vtoroy",1968
"772","Narvik",2020
"774","Helena",1913
"777","Home",2012
"780","Moonface. A woman in the war.",2018
"781","Guan dong da xia",1987
"782","Greyhound Attack",2019
"783","Malchik russkiy",2019
"786","Magdasal ka na... Gonzalvo!",1994
"789","Kaddish",2019
"790","My War",2018
"792","Prithviraj",2020
"793","Oboor",1989
"794","Tango of Slaves",1993
"795","Young Female Warrior",2019
"797","44 Days",2018
"800","Duong Thu",2005
"802","Spasti Leningrad",2019
"803","Liu fu cha lou",1971
"804","Figli del Destino",2019
"805","A Woman's Bravery",1914
"807","Parvaz dar nahayat",1991
"809","Legiony",2019
"811","Soldier Grandpa",2017
"812","Chang Zheng",1996
"813","Xue Xing Shan Gu",2001
"814","Jing Sha",2011
"815","xin yang zhe",2018
"816","liu lao zhuang shi ba zhuang shi",2013
"817","na xie nv ren",2018
"818","Tinchlik ortida",2018
"819","Girl Blood Sport",2019
"821","Battalion 609",2019
"822","Azadi Ya Mout",1966
"823","Mujahid",1965
"824","Berlin - Akkurgan",2018
"825","Azmat-e-Islam",1965
"826","Baghawat",1963
"828","Ghazi Bin Abbas",1961
"830","Opening Closing Forgetting",2018
"831","Tipu Sultan",1977
"833","Mohammad Bin Qasim",1979
"834","When sparrows scream",2018
"836","Stalag Luft Iii - One Man's Story",2018
"837","Nesokrushimyy",2018
"838","Poliorkia",2019
"839","Defended War",2019
"842","Seinen banzai",1925
"844","Shiroi machi hiroshima",1985
"846","72 Hours: Martyr Who Never Died",2019
"850","Private Peaceful",2018
"852","Flukten over grensen",2020
"853","Transatlantico REX - Nave n° 296",2018
"854","Qu'un sang impur...",2019
"858","This Little Land of Mines",2019
"859","The Touching and the Not Touching",1965
"860","Od Tatier po Azovské more",1942
"861","Rebelyon",1987
"862","Vancouver Remembers",2018
"864","Bermontiada",2009
"865","Tsushima Maru: Sayônara Okinawa",1982
"866","Mosul",2019
"869","Just George",2012
"870","Tokyo Ereji",1951
"871","Evrensel Döngü: Yasam Agacina Yolculuk",2018
"872","Astonas Zvaigznes",2017
"873","Shonen Kokuhei",1936
"874","'94 Terror",2018
"875","Pasukan Garuda: I Leave My Heart in Lebanon",2016
"876","Wira Angkasa",1987
"877","ReGeneration",2018
"881","Pozivniy «Banderas»",2018
"882","Meng he di liming",1955
"883","Si Pitjang",1957
"884","Skyggen i mit øje",2020
"885","1938 - Quando scoprimmo di non essere più italiani",2018
"886","Life Comes Back To Me",2018
"887","My Body Is Not A Weapon",2019
"889","Custer's Strategy of Defeat",2020
"893","Iwami Shigetaro-kessen Amano Hashidate",1954
"894","Iwami Shigetaro-kessen Amano Hashidate",1954
"895","Kingdom",2019
"898","Aleppo: The silence of the War",2018
"900","Opolchenochka",2019
"901","The Last Supper",2017
"902","Gracias Gauchito",2018
"904","Karasevdah: Srebrenica Blues",2007
"908","Posttravmatichna rapsodiya",2018
"909","The Negotiation",2018
"910","Türk Isi Dondurma",2019
"911","Everything is written",2018
"912","Blood of War",2012
"914","La Tigresse du Darknet",2018
"916","The Battle of Jangsari",2019
"917","Diamond Sword",2016
"918","Never Conquered",2017
"919","The Field Afar",2019
"921","Kuchikukan yukikaze",1964
"922","Bastards' Road",2020
"923","Still Recording",2018
"924","Boy of War",2018
"926","Sixth Bus",2021
"927","Why Kill Them?",2018
"928","Battle for the Desert",1967
"929","Armored Trooper VOTOMS: Alone Again",2011
"930","Armored Trooper VOTOMS: VOTOMS Finder",2010
"931","Armored Trooper VOTOMS: Case;Irvine",2010
"932","Battle for Warsaw",1978
"933","Battle for the Bulge",1969
"936","De forbandede år",2020
"938","Joe Boots",2017
"939","Midnight Traveler",2019
"940","Terra Bruciata! - Scorched Earth!",2018
"944","Bai ca ra tran",1975
"945","Land Mine",2019
"946","Nachlass",2017
"947","Hiroku taiheiyô senso zenshi",1975
"949","They Shall Not Grow Old",2018
"950","Extreme Number",2018
"952","Reimei hachigatsu jugo-nichi",1952
"953","Higeki no shôgun: Yamashita Tomoyuki",1953
"955","Kingorô no heitai-san",1956
"958","Bombie",2019
"959","Torpedo",2019
"960","T-34",2018
"963","Kakute kamikaze wa fuku",1944
"969","Sono stato Dio in Bosnia - vita di un mercenario",2010
"970","Snipers Shot",2014
"971","Lawless",2018
"972","Days of Solitude",2018
"973","Nake, Nihon kokumin: Saigo no sentôki",1956
"974","Legendi loojad",1963
"975","Okinawa no Tami",1956
"976","Nazi Overlord",2018
"977","Arrivederci Saigon",2018
"978","Strip and War",2019
"979","Vatreni",2018
"980","Deliler",2018
"981","Mobile Suit Gundam: The Origin VI - Rise of the Red Comet",2018
"983","Abnaa' el Samt",1974
"984","Oghneya Ala El Mamar",1972
"985","Saga of the Wasted Opportunities",2018
"986","Boar",2017
"987","The Ukrainian Insurgent Army Alive: Orest",2017
"988","The Front",2018
"989","Hatzlila",2018
"991","Otto Neururer - Hoffnungsvolle Finsternis",2019
"992","Archimedes no Taisen",2019
"993","Fahavalo, Madagascar 1947",2018
"994","Kurier",2019
"995","All This Victory",2019
"996","Hezarpa",2018
"1000","Zerosen Kurokumo Ikka",1962
"1003","Dauntless: The Battle of Midway",2019
"1005","Susan",2018
"1007","About a War",2019
"1008","Mala zaglada",2018
"1010","Modus Vivendi: The Only Way Out of the Suez Conflict, The Only Way to Save the British Pound",2018
"1011","Kubo Ibuki",2019
"1013","De Oost",2020
"1015","People's museum of Avdiivka",2018
"1016","Xue hua pian pian",1974
"1017","Bratstvo",2019
"1019","Il Varco - Once More Unto the Breach",2019
"1020","Go for Hope (A World War II story)",2018
"1022","Buttercup, Thatcher, Witch & Lera at War",2018
"1023","Kanarie",2018
"1024","March with the Devil",2013
"1026","Xiong hun",1990
"1027","1917",2019
"1028","Feng yun ce ji",1983
"1032","Woken Terror",2018
"1034","An Yang Jie",2018
"1036","Revolt",2020
"1039","Kobarid",2018
