"","titles","years"
"279","Save the Last Dance",2001
"280","The Karate Kid",1984
"281","High School Musical 3",2008
"282","Madea Goes to Jail",2009
"283","Mystic River",2003
"284","Flightplan",2005
"285","The Trial of Billy Jack",1974
"286","Inside Man",2006
"287","The Hand That Rocks the Cradle",1992
"288","Miss Peregrine's Home for Peculiar Children",2016
"289","Out of Africa",1985
"290","The Accountant",2016
"291","Annie",2014
"292","Fury",2014
"293","Real Steel",2011
"294","Green Book",2018
"295","Dangerous Minds",1995
"296","The Poseidon Adventure",1972
"297","Crazy, Stupid, Love.",2011
"298","The X Files",1998
"299","Up in the Air",2009
"300","Steel Magnolias",1989
"301","Immortals",2011
"302","I Can Only Imagine",2018
"303","Apocalypse Now",1979
"304","Saving Mr. Banks",2013
"305","Valkyrie",2008
"306","Brokeback Mountain",2005
"307","Disclosure",1994
"308","Days of Thunder",1990
"309","The Descendants",2011
"310","Mr. Holland's Opus",1995
"311","Fried Green Tomatoes",1991
"312","Bridge to Terabithia",2007
"313","The Post",2017
"314","Eight Below",2006
"315","MASH",1970
"316","Payback",1999
"317","The Talented Mr. Ripley",1999
"318","21",2008
"319","While You Were Sleeping",1995
"320","The Notebook",2004
"321","Another 48 Hrs.",1990
"322","Moonstruck",1987
"323","Eat Pray Love",2010
"324","Hustlers",2019
"325","Fiddler on the Roof",1971
"326","Disturbia",2007
"327","Footloose",1984
"328","Dear John",2010
"329","A Star Is Born",1976
"330","Knowing",2009
"331","War Horse",2011
"332","Earthquake",1974
"333","Hannah Montana: The Movie",2009
"334","The Day the Earth Stood Still",2008
"335","48 Hrs.",1982
"336","City of Angels",1998
"337","The English Patient",1996
"338","A.I. Artificial Intelligence",2001
"339","Cocktail",1988
"340","We Were Soldiers",2002
"341","The Monuments Men",2014
"342","Man on Fire",2004
"343","The Terminal",2004
"344","Backdraft",1991
"345","Gangs of New York",2002
"346","Free Willy",1993
"347","Philadelphia",1993
"348","Where the Wild Things Are",2009
"349","Training Day",2001
"350","The Untouchables",1987
"351","White Men Can't Jump",1992
"352","Pete's Dragon",2016
"353","Cocoon",1985
"354","The Family Man",2000
"355","Barbershop",2002
"356","The Intern",2015
"357","Contagion",2011
"358","We Bought a Zoo",2011
"359","Moneyball",2011
"360","The Rookie",2002
"361","Braveheart",1995
"362","Any Given Sunday",1999
"363","The Last of the Mohicans",1992
"364","The Girl on the Train",2016
"365","The Horse Whisperer",1998
"366","Ray",2004
"367","Coraline",2009
"368","The Exorcism of Emily Rose",2005
"369","The Prince of Tides",1991
"370","Ben-Hur",1959
"371","Ladder 49",2004
"372","Four Brothers",2005
"373","No Country for Old Men",2007
"374","Along Came a Spider",2001
"375","Hugo",2011
"376","Law Abiding Citizen",2009
"377","Spirit: Stallion of the Cimarron",2002
"378","Tyler Perry's Boo! A Madea Halloween",2016
"379","White House Down",2013
"380","Barnyard",2006
"381","Bridge of Spies",2015
"382","Dolphin Tale",2011
"383","Vantage Point",2008
"384","This Is It",2009
"385","10 Cloverfield Lane",2016
"386","My Fair Lady",1964
"387","John Q",2002
"388","Three Men and a Little Lady",1990
"389","Bridget Jones's Diary",2001
"390","The Bridges of Madison County",1995
"391","Chocolat",2000
"392","Sideways",2004
"393","Safe Haven",2013
"394","The Spiderwick Chronicles",2008
"395","Turner & Hooch",1989
"396","The Score",2001
"397","Shallow Hal",2001
"398","All the President's Men",1976
"399","The Best Man Holiday",2013
"400","V for Vendetta",2005
"401","JFK",1991
"402","World Trade Center",2006
"403","Rocky Balboa",2006
"404","The Big Short",2015
"405","Grumpy Old Men",1993
"406","Boomerang",1992
"407","Act of Valor",2012
"408","Born on the Fourth of July",1989
"409","Seven Pounds",2008
"410","Divine Secrets of the Ya-Ya Sisterhood",2002
"411","Vertical Limit",2000
"412","Witness",1985
"413","Book Club",2018
"414","Purple Rain",1984
"415","Obsessed",2009
"416","Outbreak",1995
"417","War Room",2015
"418","A Perfect Murder",1998
"419","Heat",1995
"420","Holes",2003
"421","Instant Family",2018
"422","Insomnia",2002
"423","Hidalgo",2004
"424","Lights Out",2016
"425","Coach Carter",2005
"426","Hacksaw Ridge",2016
"427","Coal Miner's Daughter",1980
"428","Waiting to Exhale",1995
"429","Changing Lanes",2002
"430","The Godfather: Part III",1990
"431","Charlie Wilson's War",2007
"432","The Forgotten",2004
"433","Legends of the Fall",1994
"434","Babe",1995
"435","Contraband",2012
"436","The Bone Collector",1999
"437","Looper",2012
"438","Finding Forrester",2000
"439","The Parent Trap",1998
"440","Big Fish",2003
"441","Magic Mike XXL",2015
"442","The Manchurian Candidate",2004
"443","Ever After: A Cinderella Story",1998
"444","Madea's Witness Protection",2012
"445","Step Up",2006
"446","Barbershop 2: Back in Business",2004
"447","About Schmidt",2002
"448","Exodus: Gods and Kings",2014
"449","Wolf",1994
"450","The American President",1995
"451","Mirror Mirror",2012
"452","Staying Alive",1983
"453","Mr. Mom",1983
"454","L.A. Confidential",1997
"455","Chronicle",2012
"456","A Dog's Purpose",2017
"457","The Happening",2008
"458","Field of Dreams",1989
"459","Miracle",2004
"460","17 Again",2009
"461","Diary of a Wimpy Kid",2010
"462","Working Girl",1988
"463","Last Vegas",2013
"464","Scent of a Woman",1992
"465","Mona Lisa Smile",2003
"466","The Shape of Water",2017
"467","Life",1999
"468","Hope Springs",2012
"469","Risky Business",1983
"470","The Fox and the Hound",1981
"471","The Time Traveler's Wife",2009
"472","Madea's Family Reunion",2006
"473","Forgetting Sarah Marshall",2008
"474","Rising Sun",1993
"475","A Nightmare on Elm Street",2010
"476","The Last Song",2010
"477","Jarhead",2005
"478","Black Mass",2015
"479","The Crying Game",1992
"480","Underworld Awakening",2012
"481","The Wolfman",2010
"482","The Electric Horseman",1979
"483","Patton",1970
"484","Miracles from Heaven",2016
"485","Cinderella Man",2005
"486","Flatliners",1990
"487","Deepwater Horizon",2016
"488","Stomp the Yard",2007
"489","Rules of Engagement",2000
"490","Misery",1990
"491","Friday Night Lights",2004
"492","Prisoners",2013
"493","The Devil's Advocate",1997
"494","Harlem Nights",1989
"495","Coyote Ugly",2000
"496","God's Not Dead",2014
"497","Poseidon",2006
"498","Three Kings",1999
"499","Kiss the Girls",1997
"500","After Earth",2013
"501","The Lucky One",2012
"502","Burn After Reading",2008
"503","Scrooged",1988
"504","The Cable Guy",1996
"505","Why Did I Get Married Too?",2010
"506","The Family Stone",2005
"507","Bad Santa",2003
"508","Hope Floats",1998
"509","The Good Shepherd",2006
"510","Little Miss Sunshine",2006
"511","My Girl",1991
"512","Secretariat",2010
"513","Son of God",2014
"514","Love, Actually",2003
"515","Behind Enemy Lines",2001
"516","Courage Under Fire",1996
"517","Chariots of Fire",1981
"518","Far and Away",1992
"519","The Blue Lagoon",1980
"520","Water for Elephants",2011
"521","Jack",1996
"522","Sea of Love",1989
"523","Funny Girl",1968
"524","Anastasia",1997
"525","Easy A",2010
"526","Open Range",2003
"527","The Secret Life of Walter Mitty",2013
"528","Bicentennial Man",1999
"529","Ali",2001
"530","Step Up 2: The Streets",2008
"531","The Lincoln Lawyer",2011
"532","The Butterfly Effect",2004
"533","Shall We Dance",2004
"534","Invincible",2006
"535","Cleopatra",1963
"536","Fences",2016
"537","Life Is Beautiful",1997
"538","The Cider House Rules",1999
"539","Boyz n the Hood",1991
"540","Memoirs of a Geisha",2005
"541","Moulin Rouge!",2001
"542","The Shack",2017
"543","Blood Diamond",2006
"544","The Specialist",1994
"545","The Godfather: Part II",1974
"546","Willow",1988
"547","Unlawful Entry",1992
"548","Beethoven",1992
"549","Annie",1982
"550","Beaches",1988
"551","The Perfect Guy",2015
"552","The Man in the Iron Mask",1998
"553","A Civil Action",1998
"554","Guess Who's Coming to Dinner",1967
"555","12 Years a Slave",2013
"556","Tombstone",1993
"557","Darkest Hour",2017
"558","Joy",2015
"559","The Queen",2006
"560","Drumline",2002
"561","White Noise",2005
"562","Edward Scissorhands",1990
"563","Dracula Untold",2014
"564","Me Before You",2016
"565","The Big Chill",1983
"566","Fantastic Four",2015
"567","Primal Fear",1996
"568","Be Cool",2005
"569","Forever Young",1992
"570","Eyes Wide Shut",1999
"571","What Dreams May Come",1998
"572","Never Been Kissed",1999
"573","The Haunting in Connecticut",2009
"574","Why Did I Get Married?",2007
"575","The Shallows",2016
"576","The Guardian",2006
"577","Don't Say a Word",2001
"578","Spawn",1997
"579","The Jackal",1997
"580","Doc Hollywood",1991
"581","Ordinary People",1980
"582","Source Code",2011
"583","Crash",2004
"584","Three Billboards Outside Ebbing, Missouri",2017
"585","The Abyss",1989
"586","The Woman in Black",2012
"587","The Hundred-Foot Journey",2014
"588","The Count of Monte Cristo",2002
"589","La Bamba",1987
"590","The Hateful Eight",2015
"591","Barbershop: The Next Cut",2016
"592","The Verdict",1982
"593","Focus",2015
"594","Tin Cup",1996
"595","P.S. I Love You",2007
"596","Sabrina",1995
"597","3:10 to Yuma",2007
"598","A Simple Favor",2018
"599","Life as We Know It",2010
"600","Corpse Bride",2005
"601","Madea's Big Happy Family",2011
"602","Urban Cowboy",1980
"603","Papillon",1973
"604","The Prestige",2006
"605","Letters to Juliet",2010
"606","Blow",2001
"607","Sweeney Todd: The Demon Barber of Fleet Street",2007
"608","Varsity Blues",1999
"609","Message in a Bottle",1999
"610","13 Hours",2016
"611","Unfaithful",2002
"612","Gandhi",1982
"613","Four Weddings and a Funeral",1994
"614","No Good Deed",2014
"615","Wall Street: Money Never Sleeps",2010
"616","A Madea Christmas",2013
"617","Southpaw",2015
"618","The Royal Tenenbaums",2001
"619","The Lake House",2006
"620","The Color of Money",1986
"621","Stand by Me",1986
"622","Radio",2003
"623","Awakenings",1990
"624","Selma",2014
"625","Temptation: Confessions of a Marriage Counselor",2013
"626","Amadeus",1984
"627","King Arthur",2004
"628","The Call",2013
"629","Funny People",2009
"630","The Odd Life of Timothy Green",2012
"631","Footloose",2011
"632","Lion",2016
"633","I Can Do Bad All by Myself",2009
"634","The China Syndrome",1979
"635","Finding Neverland",2004
"636","The Grey",2011
"637","Sneakers",1992
"638","Enemy at the Gates",2001
"639","The Phantom of the Opera",2004
"640","Broadcast News",1987
"641","Hide and Seek",2005
"642","Up Close & Personal",1996
"643","Atonement",2007
"644","Something to Talk About",1995
"645","Apocalypto",2006
"646","Syriana",2005
"647","A Bridge Too Far",1977
"648","The Mighty Ducks",1992
"649","The Net",1995
"650","The Crow",1994
"651","The Hurricane",1999
"652","Diary of a Mad Black Woman",2005
"653","Jack Ryan: Shadow Recruit",2014
"654","If I Stay",2014
"655","The Four Seasons",1981
"656","K-PAX",2001
"657","Natural Born Killers",1994
"658","Breakdown",1997
"659","Little Women",1994
"660","Sommersby",1993
"661","Sicario: Day of the Soldado",2018
"662","Evita",1996
"663","When a Man Loves a Woman",1994
"664","A Walk in the Clouds",1995
"665","Absolute Power",1997
"666","Dog Day Afternoon",1975
"667","Red Tails",2012
"668","Pain & Gain",2013
"669","Racing Stripes",2005
"670","Australia",2008
"671","Planes, Trains & Automobiles",1987
"672","Runaway Jury",2003
"673","Shampoo",1975
"674","Volcano",1997
"675","My Sister's Keeper",2009
"676","This Christmas",2007
"677","Bugsy",1991
"678","Sleepers",1996
"679","Michael Clayton",2007
"680","The Deer Hunter",1978
"681","Lady Bird",2017
"682","Men of Honor",2000
"683","BlacKkKlansman",2018
"684","The Dilemma",2011
"685","The Huntsman: Winter's War",2016
"686","The Game",1997
"687","Just Like Heaven",2005
"688","Mask",1985
"689","Malcolm X",1992
"690","G.I. Jane",1997
"691","The Preacher's Wife",1996
"692","The Land Before Time",1988
"693","Secret Window",2004
"694","The Natural",1984
"695","Single White Female",1992
"696","Premonition",2007
"697","Vice",2018
"698","The Skeleton Key",2005
"699","Jeremiah Johnson",1972
"700","Manchester by the Sea",2016
"701","Dan in Real Life",2007
"702","New Jack City",1991
"703","Into the Storm",2014
"704","The Kingdom",2007
"705","An American Tail",1986
"706","Hard to Kill",1990
"707","Munich",2005
"708","Kingdom of Heaven",2005
"709","Precious",2009
"710","Savages",2012
"711","Boo 2! A Madea Halloween",2017
"712","Airport 1975",1974
"713","The Judge",2014
"714","Jersey Boys",2014
"715","Shooter",2007
"716","Sicario",2015
"717","Red Sparrow",2018
"718","How to Be Single",2016
"719","Goodfellas",1990
"720","Boogeyman",2005
"721","Practical Magic",1998
"722","Colors",1988
"723","The Best Exotic Marigold Hotel",2011
"724","Breaking In",2018
"725","Full Metal Jacket",1987
"726","Romeo + Juliet",1996
"727","One Fine Day",1996
"728","Marked for Death",1990
"729","Gangster Squad",2013
"730","The Full Monty",1997
"731","Greystoke: The Legend of Tarzan, Lord of the Apes",1984
"732","The Breakfast Club",1985
"733","The Rainmaker",1997
"734","Five Feet Apart",2019
"735","Manhattan",1979
"736","D2: The Mighty Ducks",1994
"737","Scarface",1983
"738","College Road Trip",2008
"739","The Tigger Movie",2000
"740","Moonrise Kingdom",2012
"741","Medicine Man",1992
"742","12 Strong",2018
"743","In Good Company",2004
"744","Thelma & Louise",1991
"745","The Giver",2014
"746","28 Days Later...",2002
"747","Spotlight",2015
"748","Frequency",2000
"749","Convoy",1978
"750","Den of Thieves",2018
"751","First Man",2018
"752","All Eyez on Me",2017
"753","The Bridge on the River Kwai",1957
"754","Cop Land",1997
"755","Lawrence of Arabia",1962
"756","Midnight Cowboy",1969
"757","The Artist",2011
"758","Meet Joe Black",1998
"759","The Good Son",1993
"760","Lost in Translation",2003
"761","The Negotiator",1998
"762","McFarland, USA",2015
"763","Instructions Not Included",2013
"764","Valley of the Dolls",1967
"765","47 Meters Down",2017
"766","Amistad",1997
"767","St. Vincent",2014
"768","The Sisterhood of the Traveling Pants 2",2008
"769","Hereditary",2018
"770","The Shining",1980
"771","The Last Emperor",1987
"772","Speed Racer",2008
"773","Drop Dead Fred",1991
"774","Soul Surfer",2011
"775","Wall Street",1987
"776","The Lovely Bones",2009
"777","The Gift",2015
"778","Tears of the Sun",2003
"779","West Side Story",1961
"780","Under the Tuscan Sun",2003
"781","Tyler Perry's Acrimony",2018
"782","We Are Marshall",2006
"783","Soul Food",1997
"784","Everest",2015
"785","A River Runs Through It",1992
"786","Edge of Darkness",2010
"787","Biloxi Blues",1988
"788","Sense and Sensibility",1995
"789","No Reservations",2007
"790","Wag the Dog",1997
"791","War Dogs",2016
"792","Regarding Henry",1991
"793","Rumor Has It...",2005
"794","Escape from Alcatraz",1979
"795","Snitch",2013
"796","The Big Sick",2017
"797","The Devil's Own",1997
"798","Cabaret",1972
"799","Heartbreak Ridge",1986
"800","The Unborn",2009
"801","Max",2015
"802","Glory Road",2006
"803","Krampus",2015
"804","The Age of Adaline",2015
"805","Casino",1995
"806","To Sir, with Love",1967
"807","Widows",2018
"808","Step Up 3D",2010
"809","The Bad News Bears",1976
"810","Birdman or (The Unexpected Virtue of Ignorance)",2014
"811","Blue Thunder",1983
"812","Lady in the Water",2006
"813","White Nights",1985
"814","Fever Pitch",2005
"815","Spanglish",2004
"816","Dolphin Tale 2",2014
"817","A Dog's Way Home",2019
"818","Meet the Browns",2008
"819","Donnie Brasco",1997
"820","The Fisher King",1991
"821","Remake",2003
"822","Nights in Rodanthe",2008
"823","Homeward Bound: The Incredible Journey",1993
"824","Easy Rider",1969
"825","Almost Christmas",2016
"826","The Hours",2002
"827","Bandits",2001
"828","High Crimes",2002
"829","Pale Rider",1985
"830","Secondhand Lions",2003
"831","About a Boy",2002
"832","Peggy Sue Got Married",1986
"833","Gosford Park",2001
"834","Tequila Sunrise",1988
"835","The Mirror Has Two Faces",1996
"836","A Walk to Remember",2002
"837","Private Parts",1997
"838","What to Expect When You're Expecting",2012
"839","Orange County",2002
"840","Money Monster",2016
"841","End of Watch",2012
"842","The Ides of March",2011
"843","Rocky V",1990
"844","Windtalkers",2002
"845","Out of Time",2003
"846","Falling Down",1993
"847","Love, Simon",2018
"848","Absence of Malice",1981
"849","Breakthrough",2019
"850","Max Payne",2008
"851","Mysteries of Egypt",1998
"852","Pleasantville",1998
"853","Ghost in the Shell",2017
"854","Jagged Edge",1985
"855","Pretty in Pink",1986
"856","The Fly",1986
"857","Blue Crush",2002
"858","Reds",1981
"859","I Am Sam",2001
"860","Hanna",2011
"861","Bridget Jones: The Edge of Reason",2004
"862","There Will Be Blood",2007
"863","Hardball",2001
"864","Yentl",1983
"865","The Piano",1993
"866","Stranger Than Fiction",2006
"867","Allied",2016
"868","Hannah and Her Sisters",1986
"869","Collateral Damage",2002
"870","You Got Served",2004
"871","Funny Lady",1975
"872","Enough",2002
"873","Gone in 60 Seconds",1974
"874","The Illusionist",2006
"875","The Beach",2000
"876","Jackie Brown",1997
"877","Out for Justice",1991
"878","Nobody's Fool",1994
"879","Crazy Heart",2009
"880","Burlesque",2010
"881","Body of Lies",2008
"882","Dead Man Walking",1995
"883","Second Act",2018
"884","Lakeview Terrace",2008
"885","Anna and the King",1999
"886","King Arthur: Legend of the Sword",2017
"887","What's Love Got to Do with It",1993
"888","The Longest Day",1962
"889","Something Borrowed",2011
"890","Fracture",2007
"891","Crawl",2019
"892","The Sisterhood of the Traveling Pants",2005
"893","Primary Colors",1998
"894","The Karate Kid Part III",1989
"895","Romeo and Juliet",1968
"896","French Kiss",1995
"897","The Paper",1994
"898","About Last Night...",1986
"899","Breakin'",1984
"900","The Ghost and the Darkness",1996
"901","Nerve",2016
"902","Rock of Ages",2012
"903","Gridiron Gang",2006
"904","Pride & Prejudice",2005
"905","Red Dawn",1984
"906","47 Ronin",2013
"907","Cruel Intentions",1999
"908","Brooklyn",2015
"909","Higher Learning",1995
"910","10 Things I Hate About You",1999
"911","The Doctor",1991
"912","Dead Again",1991
"913","Postcards from the Edge",1990
"914","Seven Years in Tibet",1997
"915","First Sunday",2008
"916","Wild",2014
"917","All That Jazz",1979
"918","St. Elmo's Fire",1985
"919","It Could Happen to You",1994
"920","The Secret Life of Bees",2008
"921","Autumn in New York",2000
"922","August: Osage County",2013
"923","For Colored Girls",2010
"924","Philomena",2013
"925","How Stella Got Her Groove Back",1998
"926","Pan's Labyrinth",2006
"927","The Nativity Story",2006
"928","First Knight",1995
"929","Good Boy",2003
"930","Out of Sight",1998
"931","Invictus",2009
"932","Raising Helen",2004
"933","The Longest Ride",2015
"934","Man of the Year",2006
"935","Lawless",2012
"936","J. Edgar",2011
"937","The Roommate",2011
"938","Jumping the Broom",2011
"939","Crossroads",2002
"940","28 Days",2000
"941","The Guilt Trip",2012
"942","Brubaker",1980
"943","Keeping the Faith",2000
"944","Fight Club",1999
"945","The Family That Preys",2008
"946","State of Play",2009
"947","Carlito's Way",1993
"948","Uptown Girls",2003
"949","Matchstick Men",2003
"950","16 Blocks",2006
"951","Risen",2016
"952","Just Cause",1995
"953","Kiss of the Dragon",2001
"954","Notorious",2009
"955","Best Friends",1982
"956","The Brave One",2007
"957","Bounce",2000
"958","Alive",1993
"959","Colombiana",2011
"960","Gung Ho",1986
"961","Freedom Writers",2007
"962","Tarzan the Ape Man",1981
"963","To Wong Foo Thanks for Everything, Julie Newmar",1995
"964","Son in Law",1993
"965","Million Dollar Arm",2014
"966","The Thin Red Line",1998
"967","Sliver",1993
"968","The 15:17 to Paris",2018
"969","Last Tango in Paris",1972
"970","Hanging Up",2000
"971","Set It Off",1996
"972","Derailed",2005
"973","The Robe",1953
"974","The Greatest Show on Earth",1952
"975","What a Girl Wants",2003
"976","In the Bedroom",2001
"977","The Theory of Everything",2014
"978","Taps",1981
"979","Alpha",2018
"980","Shine",1996
"981","Trouble with the Curve",2012
"982","The Mothman Prophecies",2002
"983","Changeling",2008
"984","Smokin' Aces",2006
"985","The Indian in the Cupboard",1995
"986","Silkwood",1983
"987","Sharky's Machine",1981
"988","Larry Crowne",2011
"989","The American",2010
"990","Children of Men",2006
"991","No Way Out",1987
"992","Selena",1997
"993","Mermaids",1990
"994","The Intruder",2019
"995","Peppermint",2018
"996","Ad Astra",2019
"997","Money Train",1995
"998","Carrie",2013
